产品模块	产品线	实施分类	所属组
医保审核(事前)	医保对外接口服务	接口	计费医保
医保审核(事中)	医保对外接口服务	接口	计费医保
医保审核分析(事后)	医保对外接口服务	接口	计费医保
信用就医接口	患者服务类集成接口	接口	数据中心技术支持
信用付（app）	患者第三方支付服务	其它	计费医保
互联网信用支付	互联网支付平台	互联网医院	互联网医院
违规数据生成报告与统计提取	院内医保智能审核		区域医保基金监管组
院内医保智能审核（医保产品研发部）-医生站	院内医保智能审核		医生站
体检个人预约	医院微信公众平台	互联网医院	互联网医院
网上浏览体检报告	体检系统	体检	体检
体检互联网应用接口	体检系统	体检	体检
放射科叫号	数字媒体呼叫系统	其它	数字媒体发布
心电叫号	数字媒体呼叫系统	其它	数字媒体发布
内镜影像叫号	数字媒体呼叫系统	其它	数字媒体发布
采血叫号	数字媒体呼叫系统	其它	数字媒体发布
门诊输液叫号	数字媒体呼叫系统	其它	数字媒体发布
门诊诊室叫号	数字媒体呼叫系统	其它	数字媒体发布
超声科叫号	数字媒体呼叫系统	其它	数字媒体发布
门诊诊区叫号	数字媒体呼叫系统	其它	数字媒体发布
急诊诊区叫号	数字媒体呼叫系统	其它	数字媒体发布
急诊诊室叫号	数字媒体呼叫系统	其它	数字媒体发布
体检叫号	数字媒体呼叫系统	其它	数字媒体发布
急诊输液大厅叫号	数字媒体呼叫系统	其它	数字媒体发布
门诊药房叫号	数字媒体呼叫系统	其它	数字媒体发布
服务器迁移-数字媒体呼叫系统	数字媒体呼叫系统	其它	数字媒体发布
资质授权移动端	医师资质授权	其它	临床运营管理
医师信息综合查询	医师资质授权	其它	临床运营管理
医师线上考试	医师资质授权	其它	临床运营管理
医师线上培训	医师资质授权	其它	临床运营管理
新技术新项目管理	医师资质授权	其它	临床运营管理
医师信息管理	医师资质授权	其它	临床运营管理
精麻毒授权	医师资质授权	其它	临床运营管理
抗菌药授权	医师资质授权	其它	临床运营管理
处方授权	医师资质授权	其它	临床运营管理
麻醉授权	医师资质授权	其它	临床运营管理
手术授权	医师资质授权	其它	临床运营管理
库存转移业务追溯	药品追溯码管理系统		药房药库
基数药业务追溯	药品追溯码管理系统		药房药库
护理移动设备药品追溯	药品追溯码管理系统		药房药库
库存盘点业务追溯	药品追溯码管理系统		药房药库
退货业务追溯	药品追溯码管理系统		药房药库
入库业务追溯	药品追溯码管理系统		药房药库
住院配液中心业务追溯	药品追溯码管理系统		药房药库
门诊配液中心业务追溯	药品追溯码管理系统		药房药库
住院退药业务追溯	药品追溯码管理系统		药房药库
住院发药业务追溯	药品追溯码管理系统		药房药库
门诊退药业务追溯	药品追溯码管理系统		药房药库
门诊发药业务追溯	药品追溯码管理系统		药房药库
追溯码采集公共窗口	药品追溯码管理系统		药房药库
全院药房扫码统计	药品追溯码管理系统		药房药库
病区扫描情况统计	药品追溯码管理系统		药房药库
门急诊处方扫码统计	药品追溯码管理系统		药房药库
追溯码台帐查询	药品追溯码管理系统		药房药库
追溯码拆零查询	药品追溯码管理系统		药房药库
