propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
INGRIAccStandFlag,1,"^",17,%Library.String,INGRI_AccStandFlag,95,依据标准,
INGRIAcceptResult,1,"^",4,%Library.String,INGRI_AcceptResult,81,验收结果（合格/不合格）,
INGRIAppearShape,1,"^",5,%Library.String,INGRI_AppearShape,82,外观形状,
INGRIBNetAmt,,"^",7,%Library.Float,INGRI_BNetAmt,3,Base Net Amount,
INGRIBatchNo,,"^",13,%Library.String,INGRI_BatchNo,2,Batch No,
INGRICTLOCDR,,"^",3,User.CTLoc,INGRI_CTLOC_DR,5,Des Ref to CTLOC,
INGRICTUOMDR,,"^",10,User.CTUOM,INGRI_CTUOM_DR,6,UOM,
INGRICheckStatus,1,"^",14,%Library.String,INGRI_CheckStatus,92,核对标识,
INGRIChildSub,,,,%Library.Float,INGRI_ChildSub,4,INGRI Childsub,
INGRIDeliveryDate,1,"^",13,%Library.Date,INGRI_DeliveryDate,90,INGRI_DeliveryDate 送货时间,
INGRIDisc,,"^",8,%Library.Float,INGRI_Disc,7,Discount Rate,
INGRIExistInstr,1,"^",7,%Library.String,INGRI_ExistInstr,84,说明书（有/无）,
INGRIExistLabel,1,"^",6,%Library.String,INGRI_ExistLabel,83,标签（有/无）,
INGRIExpDate,,"^",9,%Library.Date,INGRI_ExpDate,8,Expiry Date,
INGRIFactoryNo,2,"^",2,%Library.String,INGRI_FactoryNo,100,INGRI_FactoryNo出厂编号,
INGRIFitExpDateFlag,1,"^",16,%Library.String,INGRI_FitExpDateFlag,94,符合效期,
INGRIGoodsInvoStatus,1,"^",21,%Library.String,INGRI_GoodsInvoStatus,99,INGRI_GoodsInvoStatus,
INGRIGrossAmt,,"^",5,%Library.Float,INGRI_GrossAmt,9,Gross Amount,
INGRIHRPBatCode,1,"^",20,%Library.String,INGRI_HRPBatCode,98,INGRI_HRPBatCode,
INGRIHandChargeShare,,"^",16,%Library.Float,INGRI_HandChargeShare,10,Share of Handling Charges,
INGRIINCGRDR,,"^",6,User.INCGdRecType,INGRI_INCGR_DR,11,Des Ref to INC_GdRecType,
INGRIINCIBDR,,,,User.INCItmBat,INGRI_INCIB_DR,52,INGRI_INCIB_DR,
INGRIINCLBDR,,"^",1,User.INCItmLcBt,INGRI_INCLB_DR,12,Des Ref To INCLB,
INGRIINGRParRef,,,,User.DHCINGdRec,INGRI_INGR_ParRef,,DHC_INGdRec Parent Reference,
INGRIINPOIDR,,"^",17,User.INPOItm,INGRI_INPOI_DR,13,Des Ref INPOI,
INGRIMargin,,"^",18,%Library.Float,INGRI_Margin,14,Margin,
INGRINetAmt,,"^",11,%Library.Float,INGRI_NetAmt,15,Net Amount in foreign currency,
INGRIOriginalCode,2,"^",1,%Library.String,INGRI_OriginalCode,91,INGRI_OriginalCode 追溯码,
INGRIOverallDiscShare,,"^",15,%Library.Float,INGRI_OverallDiscShare,16,Share of the Overall Discount,
INGRIPackWaysDR,1,"^",1,User.INCPackInstructions,INGRI_PackWays_DR,78,包装方式,
INGRIPayAllowDate,1,"^",9,%Library.Date,INGRI_PayAllowDate,86,付款审批日期,
INGRIPayAllowTime,1,"^",10,%Library.Time,INGRI_PayAllowTime,87,付款审批时间,
INGRIPayAllowUser,1,"^",8,User.SSUser,INGRI_PayAllowUser,85,付款审批人,
INGRIPayModeSCDIDr,1,"^",19,User.DHCStkComDictionary,INGRI_PayMode_SCDI_Dr,97,付款方式,
INGRIPreVATAmt,,"^",20,%Library.Float,INGRI_PreVATAmt,17,PreVATAmt,
INGRIPurSourceDr,1,"^",15,User.DHCStkComDictionary,INGRI_PurSource_Dr,93,,
INGRIQualFlag,1,"^",18,%Library.String,INGRI_QualFlag,96,合格标识,
INGRIQualityReport,1,"^",2,%Library.String,INGRI_QualityReport,79,质检报告（有/无）,
INGRIQualitySit,1,"^",3,%Library.String,INGRI_QualitySit,80,质量情况,
INGRIRecQty,,"^",4,%Library.Float,INGRI_RecQty,18,Receiving Quantity,
INGRIRemarks,"REM",,,%Library.String,INGRI_Remarks,19,Remarks,
INGRIServiceTaxDR,,"^",14,User.ARCServTax,INGRI_ServiceTax_DR,20,Des Ref To Service Tax,
INGRIStkDesc,,"^",2,%Library.String,INGRI_StkDesc,21,Stock Description,
INGRITDPiDr,1,"^",12,BS.PHA.IN.TmpDrugPurItm,INGRI_TDPi_Dr,89,INGRI_TDPi_Dr  临购药品子表id,
INGRITax,,"^",69,%Library.Float,INGRI_Tax,73,Tax 单品税额,
INGRITaxAmount,,"^",19,%Library.Float,INGRI_TaxAmount,22,Tax Amount,
INGRIUnitCost,,"^",12,%Library.Float,INGRI_UnitCost,23,UnitCost,
INGRIsxnoDate,1,"^",11,%Library.Date,INGRI_sxnoDate,88,随行单日期,
INITMOrigDR,,"^",56,User.DHCSTOrigin,INITM_Orig_DR,60,产地,
initmAdmExpdate,,"^",43,%Library.Date,initm_AdmExpdate,46,initm_AdmExpdate,
initmAdmNo,,"^",42,%Library.String,initm_AdmNo,45,initm_AdmNo,
initmBatPrice,,"^",35,%Library.Float,initm_BatPrice,38,initm_BatPrice,
initmCheckAudit,,"^",22,%Library.String,initm_CheckAudit,25,initm_CheckAudit,
initmCheckPack,,"^",23,%Library.String,initm_CheckPack,26,initm_CheckPack,
initmCheckPort,,"^",41,%Library.String,initm_CheckPort,44,initm_CheckPort,
initmCheckRepDate,,"^",40,%Library.Date,initm_CheckRepDate,43,initm_CheckRepDate,
initmCheckRepNo,,"^",39,%Library.String,initm_CheckRepNo,42, ,
initmCheckRepTime,,"^",57,%Library.Time,initm_CheckRepTime,61,initm_CheckRepTime  验收报告时间,
initmColdChainTemp,,"^",71,%String,initm_ColdChainTemp,75,冷链温度,
initmDrugPackFlag,,"^",72,%Library.String,initm_DrugPackFlag,76,是否连包（草药小包装）,
initmFirstInvNo,,"^",67,%Library.String,initm_FirstInvNo,71,initm_FirstInvNo	第一票票号,
initmGRIDR,,"^",63,User.DHCINGdRecItm,initm_GRI_DR,67,initm_GRI_DR,
initmINCIDR,,"^",25,User.INCItm,initm_INCI_DR,28,initm_INCI_DR,
initmINGRIDR,,"^",36,User.INGdRecItm,initm_INGRI_DR,39,initm_INGRI_DR,
initmInvAuditDate,,"^",66,%Library.Date,initm_InvAuditDate,70,initm_InvAuditDate 	发票审核日期,
initmInvCode,,"^",51,%Library.String,initm_InvCode,55,initm_InvCode,
initmInvSetDate,,"^",59,%Library.Date,initm_InvSetDate,63,initm_InvSetDate,
initmInvSupplyDate,,"^",70,%Library.Date,initm_InvSupplyDate,74,initm_InvSupplyDate发票提供日期,
initmMTDr,,"^",47,User.DHCMarkType,initm_MT_Dr,50,initm_MT_Dr,
initmOnlineOderMode,,"^",55,%Library.String,initm_OnlineOderMode,59,招标采购模式，竞价、议标,
initmOnlineOrderNo,,"^",54,%Library.String,initm_OnlineOrderNo,58,招标平台采购单号,
initmOrderDetailSubId,,"^",64,%Library.String,initm_OrderDetailSubId,68,initm_OrderDetailSubId 平台订单子表ID,
initmPBLEVELDR,,"^",73,User.DHCItmPBLevel,initm_PBLEVEL_DR,77,招标级别,
initmProduceDate,,"^",49,%Library.Date,initm_ProduceDate,53,initm_produceDate,
initmPubBL,,"^",48,User.DHCPublicBiddingList,initm_PubBL,51,initm_PubBL,
initmQualityNo,,"^",37,%Library.String,initm_QualityNo,40,initm_QualityNo,
initmRemark,,"^",44,%Library.String,initm_Remark,47,initm_Remark,
initmSpAmt,,"^",50,%Library.Float,initm_SpAmt,54,initm_SpAmt,
initmSpecList,,"^",58,%Library.String,initm_SpecList,62,具体规格SpecList,
initmSterilizedBat,,"^",53,%Library.String,initm_SterilizedBat,57,灭菌批号,
initmSynInvFlag,,"^",65,%Library.String,initm_SynInvFlag,69,initm_SynInvFlag 	平台发票同步标志,
initmTaxRate,,"^",52,%Library.Float,initm_TaxRate,56,initm_TaxRate,
initmTwoTicketFlag,,"^",68,%Library.String,initm_TwoTicketFlag,72,两票制标志,
initmbuyer,,"^",21,User.SSUser,initm_buyer,24,initm_buyer,
initmcheckdate,,"^",33,%Library.Date,initm_checkdate,36,initm_checkdate,
initmdiff,,"^",24,%Library.Float,initm_diff,27,initm_diff,
initmgiftrec,,"^",60,%Library.String,initm_giftrec,64,赠送比例,
initmgiftrecadd,,"^",62,%Library.String,initm_giftrecadd,66,赠送入库完成标志,
initminvdate,,"^",34,%Library.Date,initm_invdate,37,initm_invdate,
initminvmoney,,"^",26,%Library.Float,initm_invmoney,29,initm_invmoney,
initminvno,,"^",27,%Library.String,initm_invno,30,initm_invno,
initmnewSp,,"^",45,%Library.Float,initm_newSp,48,initm_newSp,
initmnewSpAmt,,"^",46,%Library.Float,initm_newSpAmt,49,initm_newSpAmt,
initmpayno,,"^",28,%Library.String,initm_payno,31,initm_payno,
initmphmnfdr,,"^",29,User.PHManufacturer,initm_phmnf_dr,32,initm_phmnf_dr,
initmrealprice,,"^",30,%Library.Float,initm_realprice,33,initm_realprice,
initmrealtotal,,"^",31,%Library.Float,initm_realtotal,34,initm_realtotal,
initmsaleprice,,"^",32,%Library.Float,initm_saleprice,35,initm_saleprice,
initmsxno,,"^",38,%Library.String,initm_sxno,41,import suixing dan,
initmunpay,,"^",61,%Library.String,initm_unpay,65,拒付价格,
