propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
ChildDHCINVOEItemAuthorize,,,,User.DHCINVOEItemAuthorize,,,,
ChildDHCINVPayMode,,,,User.DHCINVPayMode,,,,
PRTACCPINVDR,,"^",4,User.DHCAccPayINV,PRT_ACCPINV_DR,18,PRT_ACCPINV_DR,
PRTARRCPDR,,"^",2,User.ARReceipts,PRT_ARRCP_DR,3,PRT_ARRCP_DR,
PRTAcount,,"^",1,%Library.Float,PRT_Acount,2,PRT_Acount,
PRTAllRefundDate,,"^",23,%Library.Date,PRT_AllRefundDate,25,PRT_AllRefundDate,
PRTAllRefundTime,,"^",24,%Library.Time,PRT_AllRefundTime,26,PRT_AllRefundTime,
PRTAllRefundUser,,"^",25,User.SSUser,PRT_AllRefundUser,24,PRT_AllRefundUser,
PRTAllowRefund,,"^",22,%Library.String,PRT_AllowRefund,23,PRT_AllowRefund,
PRTBusinessNo,,"^",42,%Library.String,PRT_BusinessNo,43,PRT_BusinessNo,
PRTDHCINVPRTRDR,,"^",6,User.DHCINVPRTReports,PRT_DHCINVPRTR_DR,5,PRT_DHCINVPRTR_DR,
PRTDate,,"^",5,%Library.Date,PRT_Date,4,PRT_Date,
PRTDiscAmount,,"^",7,%Library.Float,PRT_DiscAmount,20,PRT_DiscAmount,
PRTFairType,,"^",34,%Library.String,PRT_FairType,35,PRT_FairType,
PRTFlag,,"^",8,%Library.String,PRT_Flag,6,PRT_Flag,
PRTGroupDR,,"^",41,User.SSGroup,PRT_Group_DR,42,PRT_Group_DR,
PRTHandin,,"^",10,%Library.String,PRT_Handin,7,PRT_Handin,
PRTHandinDate,,"^",11,%Library.Date,PRT_HandinDate,8,PRT_HandinDate,
PRTHandinTime,,"^",12,%Library.Time,PRT_HandinTime,9,PRT_HandinTime,
PRTHospitalDR,,"^",39,User.CTHospital,PRT_Hospital_DR,40,PRT_Hospital_DR,
PRTINVPrintFlag,,"^",3,%Library.String,PRT_INVPrintFlag,17,PRT_INVPrintFlag,
PRTIPAdress,,"^",43,%Library.String,PRT_IPAdress,44,PRT_IPAdress,
PRTInsDivDR,,"^",30,User.INSUDivide,PRT_InsDiv_DR,31,PRT_InsDiv_DR,
PRTInsTypeDR,,"^",9,User.PACAdmReason,PRT_InsType_DR,22,PRT_InsType_DR,
PRTInsuranceTypeDR,,"^",40,%Library.String,PRT_InsuranceType_DR,41,PRT_InsuranceType_DR,
PRTOPBackChange,,"^",36,%Library.Float,PRT_OPBackChange,37,PRT_OPBackChange,
PRTOPCRoundErr,,"^",37,%Library.Float,PRT_OPCRoundErr,38,PRT_OPCRoundErr,
PRTOPPreSum,,"^",35,%Library.Float,PRT_OPPreSum,36,PRT_OPPreSum,
PRTOldINVDR,,"^",29,User.DHCINVPRT,PRT_OldINV_DR,30,PRT_OldINV_DR,
PRTPAPMIDR,,"^",15,User.PAPatMas,PRT_PAPMI_DR,12,PRT_PAPMI_DR,
PRTPFinRepDR,,"^",26,%Library.String,PRT_PFinRep_DR,27,PRT_PFinRep_DR,
PRTPatientShare,,"^",16,%Library.Float,PRT_PatientShare,21,PRT_PatientShare,
PRTPayorShare,,"^",18,%Library.Float,PRT_PayorShare,19,PRT_PayorShare,
PRTPrePayDate,,"^",47,%Library.Date,PRT_PrePayDate,48,PRT_PrePayDate 预结日期,
PRTPrePayTime,,"^",48,%Library.Time,PRT_PrePayTime,49,PRT_PrePayTime 预结时间,
PRTPrePayUserDR,,"^",46,User.SSUser,PRT_PrePayUser_DR,47,PRT_PrePayUser_DR 预结操作员,
PRTRefAuditLocDR,,"^",33,%Library.String,PRT_RefAuditLoc_DR,34,PRT_RefAuditLoc_DR,
PRTRefundReason,,"^",32,User.DHCINVOPRefReason,PRT_RefundReason,33,PRT_RefundReason,
PRTSfootTime,,"^",27,%Library.Time,PRT_SfootTime,28,PRT_SfootTime,
PRTSfootUserDR,,"^",28,User.SSUser,PRT_SfootUser_DR,29,PRT_SfootUser,
PRTSocialStatus,,"^",19,User.CTSocialStatus,PRT_SocialStatus,16,PRT_SocialStatus,
PRTStayFlag,,"^",44,%Library.String,PRT_StayFlag,45,PRT_StayFlag 急诊留观标志,
PRTSubAvailHospDR,,"^",38,%Library.String,PRT_SubAvailHosp_DR,39,PRT_SubAvailHosp_DR,
PRTTime,,"^",20,%Library.Time,PRT_Time,14,PRT_Time,
PRTUseINVType,,"^",17,%Library.String,PRT_UseINVType,13,PRT_UseINVType,
PRTUsr,,"^",21,User.SSUser,PRT_Usr,15,PRT_Usr,
PRTVATInvoiceNo,,"^",45,%Library.String,PRT_VATInvoiceNo,46,PRT_VATInvoiceNo 增值税发票号,
PRTYBPaySum,,"^",31,%Library.Float,PRT_YBPaySum,32,PRT_YBPaySum,
PRTinitInvDR,,"^",13,User.DHCINVPRT,PRT_initInv_DR,10,PRT_initInv_DR,
PRTinv,,"^",14,%Library.String,PRT_inv,11,PRT_inv,
