propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
INCIBAPCVMDr,,"^",8,User.APCVendor,INCIB_APCVM_Dr,9,INCIB_APCVM_Dr,
INCIBAdjCheque,,"^",16,%String,INCIB_AdjCheque,17,调价换票标志,
INCIBBarCode,,"^",17,%Library.String,INCIB_BarCode,18,条码,
INCIBCarrierDR,,"^",27,User.DHCCarrier,INCIB_Carrier_DR,28,配送商,
INCIBDateAdd,,"^",10,%Library.Date,INCIB_DateAdd,11,INCIB_DateAdd,
INCIBDetailId,,"^",20,%Library.String,INCIB_DetailId,21,类似incib的id信息(记录第三方数据),
INCIBDrugPackFlag,,"^",25,%Library.String,INCIB_DrugPackFlag,26,连包标志（草药）,
INCIBFactoryNo,,"^",28,%Library.String,INCIB_FactoryNo,29,INGRI_FactoryNo出厂编号,
INCIBGiftFlag,,"^",15,%String,INCIB_GiftFlag,16,捐赠标志,
INCIBINCIBDr,,"^",1,User.INCItmBat,INCIB_INCIB_Dr,2,INCIB_INCIB_Dr,
INCIBINGRIDr,,"^",9,User.DHCINGdRecItm,INCIB_INGRI_Dr,10,INCIB_INGRI_Dr,
INCIBIssuedBatNo,,"^",23,%String,INCIB_IssuedBatNo,24,疫苗批签发号 INCIB_IssuedBatNo,
INCIBLockDate,,"^",29,%Date,INCIB_LockDate,30,批次锁定日期,
INCIBLockTime,,"^",30,%Library.Time,INCIB_LockTime,31,批次锁定时间,
INCIBPHMNFDr,,"^",7,User.PHManufacturer,INCIB_PHMNF_Dr,8,INCIB_PHMNF_Dr,
INCIBPackWaysDR,,"^",26,User.INCPackInstructions,INCIB_PackWays_DR,27,包装方式,
INCIBPrintNum,,"^",18,%Library.Integer,INCIB_PrintNum,19,打印次数,
INCIBProduceDate,,"^",2,%Library.Date,INCIB_ProduceDate,3,INCIB_ProduceDate,
INCIBPurSourceDr,,"^",33,User.DHCStkComDictionary,INCIB_PurSource_Dr,34,采购来源,
INCIBRp,,"^",3,%Library.Float,INCIB_Rp,4,INCIB_Rp,
INCIBRpPuruom,,"^",4,%Library.Float,INCIB_RpPuruom,5,INCIB_RpPuruom,
INCIBSourceOfFund,,"^",12,User.DHCSourceOfFund,INCIB_SourceOfFund,13,INCIB_SourceOfFund,
INCIBSp,,"^",5,%Library.Float,INCIB_Sp,6,INCIB_Sp,
INCIBSpPuruom,,"^",6,%Library.Float,INCIB_SpPuruom,7,INCIB_SpPuruom,
INCIBSpecList,,"^",13,%Library.String,INCIB_SpecList,14,具体规格INCIB_SpecList,
INCIBSterilizedBat,,"^",19,%Library.String,INCIB_SterilizedBat,20,灭菌批号INCIB_SterilizedBat,
INCIBSterilizedDate,,"^",22,%Library.Date,INCIB_SterilizedDate,23,INCIB_SterilizedDate,
INCIBStkType,,"^",24,%String,INCIB_StkType,25,INCIB_StkType,
INCIBTax,,"^",21,%Library.Float,INCIB_Tax,22,INCIB_Tax 基本单位对应税额,
INCIBTempStoreFlag,,"^",14,%Library.String,INCIB_TempStoreFlag,15,INCIB_TempStoreFlag (虚库/暂存库标记),
INCIBTimeAdd,,"^",11,%Library.Time,INCIB_TimeAdd,12,INCIB_TimeAdd,
INCIBUnLockDate,,"^",31,%Date,INCIB_UnLockDate,32,批次解锁日期,
INCIBUnLockTime,,"^",32,%Library.Time,INCIB_UnLockTime,33,批次解锁时间,
