propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
ChildDHCPhaCollectItmLB,,,,User.DHCPhaCollectItmLB,,,,
ChildDHCPhaCollectResQty,,,,User.DHCPhaCollectResQty,,,,
PHACIAdmDR,,"^",3,User.PAAdm,PHACI_Adm_DR,2,Patient Adm,
PHACIAdmLocDR,,"^",11,User.CTLoc,PHACI_AdmLoc_DR,13,PHACI_AdmLoc_DR,
PHACIBED,,"^",8,%Library.String,PHACI_BED,10,Patient Bed,
PHACIBatNo,,"^",19,%Library.String,PHACI_BatNo,21,批号,
PHACIChildSub,,"^",2,%Library.Float,PHACI_ChildSub,7,PHACI_ChildSub,
PHACIChkDate,,"^",24,%Library.Date,PHACI_ChkDate,26,复核日期,
PHACIChkFlag,,"^",22,%Library.String,PHACI_ChkFlag,24,复核标志,
PHACIChkTime,,"^",25,%Library.Time,PHACI_ChkTime,27,复核时间,
PHACIChkUserDr,,"^",23,User.SSUser,PHACI_ChkUser_Dr,25,复核人,
PHACIDODISDR,,"^",13,User.DHCOEDispensing,PHACI_DODIS_DR,15,PHACI_DODIS_DR, ! 8.3后使用指向, 之前使用字符串 ,
PHACIDateDosing,,"^",16,%Library.Date,PHACI_DateDosing,18,分发日期,
PHACIINCIDR,,"^",4,User.INCItm,PHACI_INCI_DR,4,PHACI_INCI_DR,
PHACIOEDISDR,,"^",7,User.OEOrdItem,PHACI_OEDIS_DR,6,PHACI_OEDIS_DR,
PHACIOrdStatus,,"^",10,%Library.String,PHACI_OrdStatus,12,PHACI_OrdStatus,
PHACIOweClDate,,"^",28,%Library.Date,PHACI_OweClDate,30,欠药取消日期,
PHACIOweClTime,,"^",29,%Library.Time,PHACI_OweClTime,31,欠药取消时间,
PHACIOweClUserDr,,"^",27,User.SSUser,PHACI_OweClUser_Dr,29,欠药取消人,
PHACIOweFlag,,"^",26,%Library.String,PHACI_OweFlag,28,欠药标志,
PHACIPHACParRef,,"^",1,User.DHCPHACollected,PHACI_PHAC_ParRef,,DHC_PHACollected Parent Reference,
PHACIPNo,,"^",14,%Library.Float,PHACI_PNo,16,Property PHACIDODISDR As User.DHCOEDispensing(COLLATION = "Exact", MAXLEN = 250, TRUNCATE = 0) [ SqlColumnNumber = 15, SqlFieldName = PHACI_DODIS_DR ];
PHACI_PNo,
PHACIPrescNo,,"^",5,%Library.String,PHACI_PrescNo,3,Prescription Number,
PHACIPrice,,"^",9,%Library.Float,PHACI_Price,11,Medicine Unit Price,
PHACIQty,,"^",6,%Library.Float,PHACI_Qty,5,PHACI_Qty,
PHACIRealDODISDR,,"^",21,%Library.String,PHACI_Real_DODIS_DR,23,实发打包表rowid串,
PHACIRealQty,,"^",20,%Library.Float,PHACI_RealQty,22,实发数量,
PHACIResQty,,"^",12,%Library.Float,PHACI_ResQty,14,PHACI_ResQty,
PHACIRp,,"^",17,%Library.Float,PHACI_Rp,19,进价,
PHACIRpAmt,,"^",18,%Library.Float,PHACI_RpAmt,20,进价金额,
PHACISpAmt,,"^",15,%Library.Float,PHACI_SpAmt,17,SalePriceAmount,
