propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
ChildDHCPHACollectItm,,,,User.DHCPHACollectItm,,,,
DHCPHAAgreeRetDate,1,"^",4,%Library.Date,DHC_PHAAgreeRetDate,44,可退药日期,
DHCPHAAgreeRetFlag,1,"^",2,%Library.String,DHC_PHAAgreeRetFlag,42,可退药标志,
DHCPHAAgreeRetRemark,1,"^",6,%Library.String,DHC_PHAAgreeRetRemark,46,可退药备注,
DHCPHAAgreeRetTime,1,"^",5,%Library.Time,DHC_PHAAgreeRetTime,45,可退药时间,
DHCPHAAgreeRetUserDr,1,"^",3,User.SSUser,DHC_PHAAgreeRetUser_Dr,43,可退药操作人,
DHCPHAAuditDate,,"^",26,%Library.Date,DHC_PHAAuditDate,27,核对或者签收日期,
DHCPHAAuditFlag,,"^",25,%String,DHC_PHAAuditFlag,26,核对或者签收标志,
DHCPHAAuditTime,,"^",27,%Library.Time,DHC_PHAAuditTime,28,核对或者签收时间,
DHCPHAAuditUser,1,"^",7,User.SSUser,DHC_PHAAuditUser,47,第一配药审核人,
DHCPHAAuditor,,"^",24,User.SSUser,DHC_PHAAuditor,25,核对或者签收人,
DHCPHABuildFloorDR,1,"^",15,User.CTLocBuildingFloor,DHC_PHABuildFloor_DR,55,楼层,
DHCPHACheckDate,,"^",29,%Library.Date,DHC_PHACheckDate,30,复核日期(抓/包药完成日期),
DHCPHACheckTime,,"^",30,%Library.Time,DHC_PHACheckTime,31,复核时间(抓/包药完成时间),
DHCPHAChecker,,"^",31,User.SSUser,DHC_PHAChecker,32,复核人,
DHCPHACollateUser,1,"^",14,User.SSUser,DHC_PHACollateUser,54,点击发药的核对人, 双人核对,
DHCPHACollectDate,,"^",2,%Library.Date,DHC_PHACollectDate,3,Collect Date,
DHCPHACollectStatus,,"^",6,%Library.String,DHC_PHACollectStatus,7,DHC_PHACollectStatus,
DHCPHACollectTime,,"^",3,%Library.Time,DHC_PHACollectTime,4,Collect Time,
DHCPHACollectUser,,"^",13,User.SSUser,DHC_PHACollectUser,14,DHC_PHACollectUser,
DHCPHACounts,,"^",9,%Library.Float,DHC_PHACounts,10,DHC_PHACounts,
DHCPHADataSource,,"^",35,%Library.String,DHC_PHADataSource,36,数据来源,
DHCPHADateFrom,,"^",10,%Library.Date,DHC_PHADateFrom,11,DHC_PHADateFrom,
DHCPHADateTo,,"^",11,%Library.Date,DHC_PHADateTo,12,DHC_PHADateTo,
DHCPHADefeatedUser,1,"^",9,User.SSUser,DHC_PHADefeatedUser,49,代煎人,
DHCPHADeliverymanDR,,"^",22,User.DHCPhaDeliveryman,DHC_PHADeliveryman_DR,23,DHC_PHADeliveryman_DR,
DHCPHADispNo,,"^",14,%Library.String,DHC_PHADispNo,15,DHC_PHADispNo,
DHCPHADocLocDR,1,"^",10,User.CTLoc,DHC_PHADocLoc_DR,50,科室,
DHCPHADrawDR,1,"^",12,User.DHCPHDraw,DHC_PHADraw_DR,52,备药单ID,
DHCPHALocDR,,"^",1,User.CTLoc,DHC_PHALoc_DR,2,Pharmacy,
DHCPHAMachNo,,"^",36,%Library.String,DHC_PHAMachNo,37,第三方机器号,
DHCPHAOperateDate,,"^",18,%Library.Date,DHC_PHAOperateDate,19,DHC_PHAOperateDate,
DHCPHAOperateTime,,"^",19,%Library.Time,DHC_PHAOperateTime,20,DHC_PHAOperateTime,
DHCPHAOperator,,"^",5,User.SSUser,DHC_PHAOperator,6,Operator,
DHCPHAOrdType,,"^",12,%Library.String,DHC_PHAOrdType,13,DHC_PHAOrdType,
DHCPHAOthDispDate,,"^",32,%Library.Date,DHC_PHAOthDispDate,33,非HIS系统发药日期,
DHCPHAOthDispTime,,"^",33,%Library.Time,DHC_PHAOthDispTime,34,非HIS系统发药时间,
DHCPHAOthDispUser,,"^",34,User.SSUser,DHC_PHAOthDispUser,35,非HIS系统发药人,
DHCPHAPatGetDate,1,"^",18,%Library.Date,DHC_PHAPatGetDate,58,患者领药日期,
DHCPHAPatGetInfo,1,"^",17,%String,DHC_PHAPatGetInfo,57,患者领药信息, 领药人身份证等,
DHCPHAPatGetTime,1,"^",19,%Library.Time,DHC_PHAPatGetTime,59,患者领药时间,
DHCPHAPrescNo,1,"^",1,%Library.String,DHC_PHAPrescNo,41,处方号,
DHCPHAPrintDate,,"^",7,%Library.Date,DHC_PHAPrintDate,8,DHC_PHAPrintDate,
DHCPHAPrintFlag,,"^",16,%Library.String,DHC_PHAPrintFlag,17,DHC_PHAPrintFlag,
DHCPHAPrintNo,,"^",37,%Library.String,DHC_PHAPrintNo,38,住院发药打印流水号,
DHCPHAPrintTime,,"^",8,%Library.Time,DHC_PHAPrintTime,9,DHC_PHAPrintTime,
DHCPHAPrintUser,1,"^",11,User.SSUser,DHC_PHAPrintUser,51,打印人,
DHCPHAReAuditUser,1,"^",8,User.SSUser,DHC_PHAReAuditUser,48,第二配药审核人,
DHCPHARemark,1,"^",16,%Library.String,DHC_PHARemark,56,备注,
DHCPHASecOperator,1,"^",13,User.SSUser,DHC_PHASecOperator,53,第二配药人,
DHCPHASendDate,1,"^",20,%Library.Date,DHC_PHASendDate,60,配送交接日期,
DHCPHASendMedNum,,"^",23,%Library.Integer,DHC_PHASendMedNum,24,摆药机发送次数,
DHCPHASendTime,1,"^",21,%Library.Time,DHC_PHASendTime,61,配送交接时间,
DHCPHASendUser,,"^",17,%Library.String,DHC_PHASendUser,18,DHC_PHASend_User,
DHCPHAStkFlag,,"^",20,%Library.String,DHC_PHAStkFlag,21,DHC_PHAStkFlag,
DHCPHATimeFrom,,"^",38,%Library.Time,DHC_PHATimeFrom,39,查询开始时间,
DHCPHATimeTo,,"^",39,%Library.Time,DHC_PHATimeTo,40,查询开始时间,
DHCPHAUrgentFlag,,"^",21,%Library.String,DHC_PHAUrgentFlag,22,DHC_PHAUrgentFlag,
DHCPHAWardDR,,"^",4,User.PACWard,DHC_PHAWard_DR,5,Wards,
DHCPHAWardGroupDR,,"^",28,User.DHCWardProGroup,DHC_PHAWardGroup_DR,29,病区专业组,
DHCSendAutoFlag,,"^",15,%Library.String,DHC_SendAutoFlag,16,DHC_SendAutoFlag,
