propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
ChildDHCPHDISITMCLB,,,,User.DHCPHDISITMCLB,,,,
PHDICFNO,,"^",9,%Library.String,PHDI_CFNO,11,PHDI_CFNO,
PHDICHILDSUB,,,,%Library.Float,PHDI_CHILDSUB,2,PHDI_CHILDSUB,
PHDICTLOCDR,,"^",7,User.CTLoc,PHDI_CTLOC_DR,9,PHDI_CTLOC_DR,
PHDIFYFLAG,,"^",10,%Library.String,PHDI_FYFLAG,12,PHDI_FYFLAG,
PHDIINCLBDR,,"^",1,User.INCItmLcBt,PHDI_INCLB_DR,4,PHDI_INCLB_DR,
PHDIMachienDispFlag,,"^",14,%String,PHDI_MachienDisp_Flag,16,摆药机发放标识,
PHDIMachienDispQty,,"^",16,%Library.Float,PHDI_MachienDisp_Qty,18,PHDI_MachienDisp_Qty,
PHDIOEORIDR,,"^",5,User.OEOrdItem,PHDI_OEORI_DR,7,PHDI_OEORI_DR,
PHDIPAPMIDR,,"^",2,User.PAPatMas,PHDI_PAPMI_DR,3,PHDI_PAPMI_DR,
PHDIPAYAMOUNT,,"^",3,%Library.Float,PHDI_PAYAMOUNT,6,PHDI_PAYAMOUNT,
PHDIPHDPARREF,,,,User.DHCPHDISPEN,PHDI_PHD_PARREF,,DHC_PHDISPEN Parent Reference,
PHDIPRICE,,"^",11,%Library.Float,PHDI_PRICE,13,PHDI_PRICE,
PHDIPRTDR,,"^",15,User.DHCINVPRT,PHDI_PRT_DR,17,医嘱发票,
PHDIPYFLAG,,"^",13,%Library.String,PHDI_PYFLAG,15,配药完成标记,
PHDIPoisonMaBianNo,,"^",12,%Library.String,PHDI_PoisonMaBianNo,14,毒麻编号,
PHDIQTY,,"^",4,%Library.Float,PHDI_QTY,5,PHDI_QTY,
PHDIUNITDR,,"^",8,User.CTUOM,PHDI_UNIT_DR,10,PHDI_UNIT_DR,
phdiretqty,,"^",6,%Library.Float,phdi_retqty,8,phdi_rtqty,
