propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
PHDICBASQTY,,"^",1,%Library.Float,PHDIC_BASQTY,3,PHDIC_BASQTY,
PHDICBASRETQTY,,"^",2,%Library.Float,PHDIC_BASRETQTY,4,PHDIC_BASRETQTY,
PHDICCHILDSUB,,,,%Library.Float,PHDIC_CHILDSUB,2,PHDIC_CHILDSUB,
PHDICDSPBDR,,"^",9,User.DHCOEDispBatch,PHDIC_DSPB_DR,11,打包批次,
PHDICINCLBDR,,"^",3,User.INCItmLcBt,PHDIC_INCLB_DR,5,PHDIC_INCLB_DR,
PHDICPHDIPARREF,,,,User.DHCPHDISITEM,PHDIC_PHDI_PARREF,,DHC_PHDISITEM Parent Reference,
PHDICRp,,"^",5,%Library.Float,PHDIC_Rp,7,PHDIC_Rp,
PHDICRpAmt,,"^",6,%Library.Float,PHDIC_RpAmt,8,PHDIC_RpAmt,
PHDICSTATUS,,"^",4,%Library.String,PHDIC_STATUS,6,PHDIC_STATUS,
PHDICSp,,"^",7,%Library.Float,PHDIC_Sp,9,PHDIC_Sp,
PHDICSpAmt,,"^",8,%Library.Float,PHDIC_SpAmt,10,PHDIC_SpAmt,
