propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
ChildDHCPHDISITEM,,,,User.DHCPHDISITEM,,,,
PHDAgreeRetDate,2,"^",20,%Library.Date,PHD_AgreeRetDate,47,可退药日期,
PHDAgreeRetFlag,2,"^",18,%Library.String,PHD_AgreeRetFlag,45,可退药标志,
PHDAgreeRetRemark,2,"^",22,%Library.String,PHD_AgreeRetRemark,49,可退药备注,
PHDAgreeRetTime,2,"^",21,%Library.Time,PHD_AgreeRetTime,48,可退药时间,
PHDAgreeRetUserDr,2,"^",19,User.SSUser,PHD_AgreeRetUser_Dr,46,可退药操作人,
PHDBASKET,2,"^",16,%Library.String,PHD_BASKET,43,药框编号,
PHDCESFlag,2,"^",25,%Library.String,PHD_CESFlag,52,PHD_CESFlag,
PHDCFFLAG,1,"^",10,%Library.String,PHD_CFFLAG,18,PHD_CFFLAG,
PHDCXDATE,1,"^",13,%Library.Date,PHD_CXDATE,21,PHD_CXDATE,
PHDCXTIME,1,"^",14,%Library.Time,PHD_CXTIME,22,PHD_CXTIME,
PHDCheckUserDr,2,"^",7,User.SSUser,PHD_CheckUser_Dr,34,PHD_CheckUser_Dr,
PHDDataSource,2,"^",12,%Library.String,PHD_DataSource,39,发药数据来源,
PHDDefeatedUser,2,"^",23,User.SSUser,PHD_DefeatedUser,50,代煎人,
PHDDspRemark,2,"^",24,%Library.String,PHD_DspRemark,51,发药备注,
PHDFYDATE,,"^",3,%Library.Date,PHD_FYDATE,6,PHD_FYDATE,
PHDFYFLAG,,"^",4,%Library.String,PHD_FYFLAG,14,PHD_FYFLAG,
PHDFYTIME,,"^",5,%Library.Time,PHD_FYTIME,7,PHD_FYTIME,
PHDFineHerbFlag,2,"^",14,%Library.String,PHD_FineHerbFlag,41,贵重药打印标记,
PHDGetMedPerCardNo,2,"^",10,%Library.String,PHD_GetMedPerCardNo,37,PHD_GetMedPerCardNo,
PHDGetMedPerName,2,"^",9,%Library.String,PHD_GetMedPerName,36,PHD_GetMedPerName,
PHDItmCounts,2,"^",17,%Library.Integer,PHD_ItmCounts,44,明细品种数草药味数,
PHDMIXFLAG,1,"^",17,%Library.String,PHD_MIXFLAG,25,PHD_MIXFLAG,
PHDMONTH,,"^",6,%Library.Date,PHD_MONTH,11,PHD_MONTH,
PHDNOUSE,1,"^",11,%Library.String,PHD_NOUSE,19,PHD_NOUSE,
PHDOWEDR,2,"^",2,User.DHCPHOweList,PHD_OWE_DR,29,PHD_Owe_Dr,
PHDPAPMIDR,,"^",7,User.PAPatMas,PHD_PAPMI_DR,3,PHD_PAPMI_DR,
PHDPHLDR,1,"^",1,User.DHCPHLOC,PHD_PHL_DR,15,PHD_PHL_DR,
PHDPHPCXDR,1,"^",12,User.DHCPHPERSON,PHD_PHP_CXDR,20,PHD_PHP_CXDR,
PHDPHPFYDR,1,"^",2,User.DHCPHPERSON,PHD_PHP_FYDR,10,PHD_PHP_FYDR,
PHDPHPPYDR,1,"^",3,User.DHCPHPERSON,PHD_PHP_PYDR,9,PHD_PHP_PYDR,
PHDPHPPYDR2,1,"^",16,User.DHCPHPERSON,PHD_PHP_PYDR2,24,PHD_PHP_PYDR2,
PHDPHSendMedNum,2,"^",11,%Library.Integer,PHD_PHSendMedNum,38,发送发药机次数,
PHDPHWDR,1,"^",4,User.DHCPHWINDOW,PHD_PHW_DR,16,PHD_PHW_DR,
PHDPIETDr,2,"^",13,User.PHAINCETag,PHD_PIET_Dr,40,电子标签,
PHDPRINTFLAG,1,"^",9,%Library.String,PHD_PRINTFLAG,17,PHD_PRINTFLAG,
PHDPRTDATE,,"^",1,%Library.Date,PHD_PRTDATE,8,PHD_ARCPDATE,
PHDPRTDR,,"^",2,User.DHCINVPRT,PHD_PRT_DR,2,PHD_ARRCP_DR,
PHDPYCKDATE,2,"^",3,%Library.Date,PHD_PYCKDATE,30,PHD_PYCKDATE,
PHDPYCKTIME,2,"^",4,%Library.Time,PHD_PYCKTIME,31,PHD_PYCKTIME,
PHDPYDATE,1,"^",5,%Library.Date,PHD_PYDATE,4,PHD_PYDATE,
PHDPYEDDATE,2,"^",5,%Library.Date,PHD_PYEDDATE,32,PHD_PYEDDATE,
PHDPYEDTIME,2,"^",6,%Library.Time,PHD_PYEDTIME,33,PHD_PYEDTIME,
PHDPYFLAG,1,"^",6,%Library.String,PHD_PYFLAG,13,PHD_PYFLAG,
PHDPYTIME,1,"^",7,%Library.Time,PHD_PYTIME,5,PHD_PYTIME,
PHDPrescNo,2,"^",1,%Library.String,PHD_PrescNo,28,PHD_Prescno,
PHDPrintNum,2,"^",8,%Library.Integer,PHD_PrintNum,35,打印次数,
PHDRETFLAG,1,"^",15,%Library.String,PHD_RETFLAG,23,PHD_RETFLAG,
PHDSERIALNO,1,"^",8,%Library.Float,PHD_SERIALNO,12,PHD_SERIALNO,
PHDStatus,2,"^",15,%Library.String,PHD_Status,42,配发状态,
phdpaadmdr,1,"^",18,User.PAAdm,phd_paadm_dr,26,phd_paadm_dr,
phdpattype,1,"^",19,%Library.String,phd_pattype,27,phd_patype,
