propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
PHRTIAMOUNT,,"^",1,%Library.Float,PHRTI_AMOUNT,6,PHRTI_AMOUNT,
PHRTIBatCode,,"^",14,%Library.String,PHRTI_BatCode,17,退药批号,
PHRTICHILDSUB,,,,%Library.Float,PHRTI_CHILDSUB,2,PHRTI_CHILDSUB,
PHRTIDSPBDR,,"^",12,User.DHCOEDispBatch,PHRTI_DSPB_DR,15,退药打包子表（对应R的那条）,
PHRTIFRFDR,,"^",5,User.DHCINVOPRefReason,PHRTI_FRF_DR,7,PHRTI_FRF_DR,
PHRTIINCLBDR,,"^",13,User.INCItmLcBt,PHRTI_INCLB_DR,16,科室库存批次,
PHRTIINV,,"^",10,User.DHCINVPRT,PHRTI_INV,13,发票ID,
PHRTIOEORIDR,,"^",2,User.OEOrdItem,PHRTI_OEORI_DR,3,PHRTI_OEORI_DR,
PHRTIPHDICDR,,"^",11,User.DHCPHDISITMCLB,PHRTI_PHDIC_DR,14,门诊发药孙表,
PHRTIPHDIDR,,"^",7,User.DHCPHDISITEM,PHRTI_PHDI_DR,10,PHRTI_PHDI_DR,
PHRTIPHRETPARREF,,,,User.DHCPHRETURN,PHRTI_PHRET_PARREF,,DHC_PHRETURN Parent Reference,
PHRTIPRICE,,"^",6,%Library.Float,PHRTI_PRICE,9,PHRTI_PRICE,
PHRTIRETQTY,,"^",3,%Library.Float,PHRTI_RETQTY,4,PHRTI_RETQTY,
PHRTIRp,,"^",8,%Library.Float,PHRTI_Rp,11,PHRTI_Rp,
PHRTIRpAmt,,"^",9,%Library.Float,PHRTI_RpAmt,12,PHRTI_RpAmt,
PHRTIUNITDR,,"^",4,User.CTUOM,PHRTI_UNIT_DR,5,PHRTI_UNIT_DR,
