propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
ChildDHCPHRETITM,,,,User.DHCPHRETITM,,,,
PHRETACKPHPDR,,"^",18,User.DHCPHPERSON,PHRET_ACKPHP_DR,19,PHRET_ACKPHP_DR,
PHRETCODE,,"^",1,%Library.String,PHRET_CODE,2,PHRET_CODE,
PHRETDATE,,"^",2,%Library.Date,PHRET_DATE,3,PHRET_DATE,
PHRETINV,,"^",3,%Library.String,PHRET_INV,8,PHRET_INV,
PHRETMONTH,,"^",4,%Library.Date,PHRET_MONTH,6,PHRET_MONTH,
PHRETNEWPRTDR,,"^",16,User.DHCINVPRT,PHRET_NEWPRT_DR,17,PHRET_NEWPRT_DR,
PHRETPAADMDR,,"^",5,User.PAAdm,PHRET_PAADM_DR,13,PHRET_PAADM_DR,
PHRETPHDDR,,"^",6,User.DHCPHDISPEN,PHRET_PHD_DR,10,PHRET_PHD_DR,
PHRETPHLDR,,"^",7,User.DHCPHLOC,PHRET_PHL_DR,5,PHRET_PHL_DR,
PHRETPHPDR,,"^",8,User.DHCPHPERSON,PHRET_PHP_DR,11,PHRET_PHP_DR,
PHRETPRTDR,,"^",9,User.DHCINVPRT,PHRET_PRT_DR,7,PHRET_PRT_DR,
PHRETREQDR,,"^",17,User.DHCPHREQUEST,PHRET_REQ_DR,18,PHRET_REQ_DR,
PHRETRFRDR,,"^",13,User.DHCINVOPRefReason,PHRET_RFR_DR,14,PHRET_RFR_DR,
PHRETRetClDate,,"^",20,%Library.Date,PHRET_RetClDate,21,PHRET_RetClDate,
PHRETRetClFlag,,"^",19,%Library.String,PHRET_RetClFlag,20,PHRET_RetClFlag,
PHRETRetClReason,,"^",23,%Library.String,PHRET_RetClReason,24,,
PHRETRetClTime,,"^",21,%Library.Time,PHRET_RetClTime,22,PHRET_RetClTime,
PHRETRetClUserDR,,"^",22,User.DHCPHPERSON,PHRET_RetClUser_DR,23,PHRET_RetClUser_DR,
PHRETTIME,,"^",10,%Library.Time,PHRET_TIME,4,PHRET_TIME,
PHRETTOTAL,,"^",11,%Library.Float,PHRET_TOTAL,9,PHRET_TOTAL,
PHRETTYCLFLAG,,"^",12,%Library.String,PHRET_TYCLFLAG,12,PHRET_TYCLFLAG,
PHRETTYPE,,"^",14,%Library.String,PHRET_TYPE,15,PHRET_TYPE,
phretctlocdoctor,,"^",15,%Library.String,phret_ctlocdoctor,16,phret_ctlocdoctor,
