propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
PHACILChildSub,,,,%Library.Float,PHACIL_ChildSub,2,PHACIL_ChildSub,
PHACILDSPBDr,,"^",7,User.DHCOEDispBatch,PHACIL_DSPB_Dr,9,打包子表,
PHACILINCLBDr,,"^",1,User.INCItmLcBt,PHACIL_INCLB_Dr,3,PHACIL_INCLB_Dr,
PHACILPHACIParref,,,,User.DHCPHACollectItm,PHACIL_PHACI_Parref,,DHC_PHACollectItm Parent Reference,
PHACILQty,,"^",2,%Library.Float,PHACIL_Qty,4,PHACIL_Qty,
PHACILResQty,,"^",8,%Library.Float,PHACIL_ResQty,10,本次冲减数,
PHACILRp,,"^",3,%Library.Float,PHACIL_Rp,5,PHACIL_Rp,
PHACILRpAmt,,"^",4,%Library.Float,PHACIL_RpAmt,6,PHACIL_RpAmt,
PHACILSp,,"^",5,%Library.Float,PHACIL_Sp,7,PHACIL_Sp,
PHACILSpAmt,,"^",6,%Library.Float,PHACIL_SpAmt,8,PHACIL_SpAmt,
