propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
ChildDHCPhaReturnItm,,,,User.DHCPhaReturnItm,,,,
PHARAckDate,,"^",9,%Library.Date,PHAR_AckDate,19,PHAR_AckDate,
PHARAckStatus,,"^",8,%Library.String,PHAR_AckStatus,18,PHAR_AckStatus,
PHARAckTime,,"^",10,%Library.Time,PHAR_AckTime,20,PHAR_AckTime,
PHARAckUser,,"^",11,User.SSUser,PHAR_AckUser,21,PHAR_AckUser,
PHARDate,,"^",1,%Library.Date,PHAR_Date,2,PHAR_Date,
PHARDeptLocDR,,"^",6,User.CTLoc,PHAR_DeptLoc_DR,10,PHAR_DeptLoc_DR,
PHARRETRQDR,,"^",4,%Library.String,PHAR_RETRQ_DR,5,PHAR_RETRQ_DR ,
PHARRecLocDR,,"^",5,User.CTLoc,PHAR_RecLoc_DR,9,PHAR_RecLoc_DR,
PHARRetNo,,"^",7,%Library.String,PHAR_RetNo,17,PHAR_RetNo,
PHARSSUSRDR,,"^",3,User.SSUser,PHAR_SSUSR_DR,4,PHAR_SSUSR_DR,
PHARTime,,"^",2,%Library.Time,PHAR_Time,3,PHAR_Time,
