propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
ChildDHCPhaReturnItmLB,,,,User.DHCPhaReturnItmLB,,,,
PHARIAdmLocDR,,"^",9,User.CTLoc,PHARI_AdmLoc_DR,10,PHARI_AdmLoc_DR,
PHARIAmount,,"^",5,%Library.Float,PHARI_Amount,8,PHARI_Amount,
PHARIBedDR,,"^",10,User.PACBed,PHARI_Bed_DR,11,PHARI_Bed_DR,
PHARIChildSub,,,,%Library.Float,PHARI_ChildSub,2,PHARI_ChildSub,
PHARIDateDosing,,"^",12,%Library.Date,PHARI_DateDosing,14,PHARI_DateDosing,
PHARIDeptLocDR,,"^",14,User.CTLoc,PHARI_DeptLoc_DR,16,PHARI_DeptLoc_DR,
PHARIDeterFailure,,"^",16,%Library.String,PHARI_DeterFailure,18,变质（Y/N）,
PHARIDoDisDr,,"^",13,User.DHCOEDispensing,PHARI_DoDis_Dr,15,PHARI_DoDis_Dr,
PHARIINCIDR,,"^",11,User.INCItm,PHARI_INCI_DR,13,PHARI_INCI_DR,
PHARIOEDISDR,,"^",1,User.OEOrdItem,PHARI_OEDIS_DR,3,PHARI_OEDIS_DR,
PHARIPAADMDR,,"^",8,User.PAAdm,PHARI_PAADM_DR,9,PHARI_PAADM_DR,
PHARIPHARParref,,,,User.DHCPhaReturn,PHARI_PHAR_Parref,,DHC_PhaReturn Parent Reference,
PHARIPackIntact,,"^",15,%Library.String,PHARI_PackIntact,17,外包装完好（Y/N）,
PHARIPrice,,"^",4,%Library.Float,PHARI_Price,4,PHARI_Price,
PHARIQty,,"^",2,%Library.Float,PHARI_Qty,5,PHARI_Qty,
PHARIREASONDR,,"^",6,User.BLCReasonForRefund,PHARI_REASON_DR,6,PHARI_REASON_DR,
PHARIRETRQIDR,,"^",7,User.DHCPhaRetRequestItm,PHARI_RETRQI_DR,12,PHARI_RETRQI_DR,
PHARIReservedQty,,"^",3,%Library.Float,PHARI_ReservedQty,7,PHARI_ReservedQty,
