propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
ChildINCItmLcBt,,,,User.INCItmLcBt,,,,
ChildINCItmLcDailyTotal,,,,User.INCItmLcDailyTotal,,,,
ChildINStkBal,,,,User.INStkBal,,,,
INCILAvailQty,,,,%Float,INCIL_AvailQty,19,Available Qty,
INCILCTLOCDR,,"^",1,User.CTLoc,INCIL_CTLOC_DR,3,Des Ref To CTLOC,
INCILChildSub,,,,%Numeric,INCIL_ChildSub,2,INCIL Childsub (New Key),
INCILDateFrom,,"^",14,%Date,INCIL_DateFrom,23,DateFrom,
INCILDateTo,,"^",15,%Date,INCIL_DateTo,24,DateTo,
INCILDirtyQty,,"^",9,%Float,INCIL_DirtyQty,17,Dirty Quantity,
INCILFreeStorageBin,,"^",12,%String,INCIL_FreeStorageBin,21,Free Storage Bin,
INCILFreezeQty,,"^",16,%Float,INCIL_FreezeQty,25,¶³½áÊýÁ¿,
INCILINCIParRef,,,,User.INCItm,INCIL_INCI_ParRef,,Des Ref To INCI,
INCILINCSBDR,,"^",2,User.INCStkBin,INCIL_INCSB_DR,5,Des Ref To INCSB,
INCILIsTrfFlag,,"^",13,%String,INCIL_IsTrfFlag,22,Issue Transfer Flag,
INCILLogQty,,"^",3,%Float,INCIL_LogQty,7,Logical Quantity,
INCILMaxQty,,"^",7,%Float,INCIL_MaxQty,13,Maximum Quantity (Limit of Storage),
INCILMinQty,,"^",4,%Float,INCIL_MinQty,14,Minimum Quantity,
INCILRepLev,,"^",5,%Float,INCIL_RepLev,9,Replenish Level,
INCILRepQty,,"^",6,%Float,INCIL_RepQty,10,Replenish Quantity,
INCILReservedQty,,"^",10,%Float,INCIL_ReservedQty,18,Reserved Qty,
INCILWardStock,,"^",11,%String,INCIL_WardStock,20,Ward Stock Replenishment option,
INCILWareHouseDR,,"^",8,User.CTLoc,INCIL_WareHouse_DR,15,Des Ref to CTLOC,
