propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
ChildPACAdmReasonDet,,,,User.PACAdmReasonDet,,,,
REAAdmSource,,"^",9,%String,REA_AdmSource,10,AdmSource,
REAAge1From,,"^",14,%Float,REA_Age1From,15,Age1From,
REAAge1To,,"^",15,%Float,REA_Age1To,16,Age1To,
REAAge1Type,,"^",16,%String,REA_Age1Type,17,Age1Type,
REAAgeFrom,,"^",6,%Float,REA_AgeFrom,7,Age From,
REAAgeTo,,"^",7,%Float,REA_AgeTo,8,Age To,
REAAgeType,,"^",13,%String,REA_AgeType,14,AgeType,
REACareType,,"^",11,%String,REA_CareType,12,CareType,
REACode,,"^",1,%String,REA_Code,2,Code,
READateFrom,,"^",3,%Date,REA_DateFrom,4,Date From,
READateTo,,"^",4,%Date,REA_DateTo,5,Date To,
READesc,,"^",2,%String,REA_Desc,3,Description,
REAEpisSubType,,"^",12,%String,REA_EpisSubType,13,EpisSubType,
REAInPatAdmDR,,"^",8,%String,REA_InPatAdm_DR,9,Des Ref InPatAdm,
REANationalCode,,"^",5,%String,REA_NationalCode,6,National Code,
REAQualifStatus,,"^",10,%String,REA_QualifStatus,11,Qualif Status,
ReaIPInvPrtFlag,,"^",17,%String,Rea_IPInvPrtFlag,18,ReaIPInvFlag,
