propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
BCBarCode,,,,%Library.String,BC_BarCode,3,BC_BarCode			条码,
BCBatch,,,,%Library.String,BC_Batch,6,BC_Batch			药品批次指向,
BCBusiType,,,,%Library.String,BC_BusiType,2,BC_BusiType			业务类型	ESCORDER - 配送单号，ESCPACK - 包装码，POP - 拆包码，G - 手工入库码,
BCCompFlag,,,,%Boolean,BC_CompFlag,16,BC_CompFlag			完成标志,
BCDate,,,,%Date,BC_Date,10,BC_Date				插入日期,
BCInciDr,,,,User.INCItm,BC_Inci_Dr,14,BC_Inci_Dr			库存项指针,
BCLevel,,,,%Library.Integer,BC_Level,4,BC_Level			条码等级,
BCLoc,,,,User.CTLoc,BC_Loc,12,BC_Loc				码当前所在的科室,
BCParDr,,,,BS.PHA.IN.BarCode,BC_ParDr,9,BC_Par_Dr			父节点,
BCPointer,,,,%Library.String,BC_Pointer,5,BC_Pointer			业务表id指向,
BCPsDetailId,,,,%Library.String,BC_PsDetailId,8,BC_PsDetailId		配送单明细ID,
BCQty,,,,%Library.Float,BC_Qty,7,BC_Qty				药品数量,
BCResQty,,,,%Library.Float,BC_ResQty,17,BC_ResQty			剩余数量,
BCSerialNo,,,,%Library.String,BC_SerialNo,18,BC_SerialNo			拆零流水号,
BCSplitFlag,,,,%Boolean,BC_SplitFlag,19,BC_SplitFlag		拆零标志,
BCTime,,,,%Time,BC_Time,11,BC_Time				插入时间,
BCUomDr,,,,User.CTUOM,BC_Uom_Dr,15,BC_Uom_Dr			数量单位（基本单位）,
BCUser,,,,User.SSUser,BC_User,13,BC_User				操作人员,
ChildBCBI,,,,BS.PHA.IN.BarCodeBusiItm,,,,
