propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
INTRAmount,,"^",8,%Library.Float,INTR_Amount,2,Amount,
INTRAveragePrice,,"^",14,%Library.Float,INTR_AveragePrice,3,Average Price,
INTRCTUOMDR,,"^",10,User.CTUOM,INTR_CTUOM_DR,4,Des Ref to CTUOM (Unit of Me,
INTRDate,,"^",2,%Library.Date,INTR_Date,5,Transaction Date,
INTRGLBatchDR,,"^",4,User.GLBatch,INTR_GLBatch_DR,6,GL Batch,
INTRINCIDR,,"^",15,User.INCItm,INTR_INCI_DR,7,Des Ref INCI,
INTRINCLBDR,,"^",7,User.INCItmLcBt,INTR_INCLB_DR,8,Des Ref to INCLB,
INTRInsuCode,,"^",20,%Library.String,INTR_InsuCode,21,INTR_InsuCode,
INTRLbQty,,"^",19,%Library.Float,INTR_LbQty,20,INTR_LbQty,
INTRNo,,"^",13,%Library.String,INTR_No,9,Transaction Number,
INTRPointer,,"^",9,%Library.String,INTR_Pointer,10,Pointer to other table,
INTRProvCode,,"^",21,%Library.String,INTR_ProvCode,22,INTR_ProvCode,
INTRQty,,"^",6,%Library.Float,INTR_Qty,11,Quantity,
INTRRp,,"^",16,%Library.Float,INTR_Rp,17,INTR_Rp,
INTRRpAmount,,"^",17,%Library.Float,INTR_RpAmount,18,INTR_RpAmount,
INTRSSUSRDR,,"^",11,User.SSUser,INTR_SSUSR_DR,12,Des ref to SSUSR,
INTRStkQty,,"^",18,%Library.Float,INTR_StkQty,19,INTR_StkQty,
INTRTime,,"^",3,%Library.Time,INTR_Time,13,Transaction Time,
INTRType,,"^",1,%Library.String,INTR_Type,14,Stock Transaction Type,
INTRUpdBalFlag,,"^",12,%Library.String,INTR_UpdBalFlag,15,Update Balance Flag,
INTRUpdFlag,,"^",5,%Library.String,INTR_UpdFlag,16,Update Inventory Flag,
