propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
Active,,,,%String,Active,5,是否取值,
AdmDr,,,,User.PAAdm,Adm_Dr,17,就诊表外键,
Batch,,,,%String,Batch,8,批次流水号,
CheckFlag,,,,%String,CheckFlag,6,是否上传成功,
DeleteType,,,,%String,DeleteType,12,删除类型,
ExistCode,,,,%String,ExistCode,19,追溯码采集状态,
InciDr,,,,User.INCItm,Inci_Dr,16,库存项外键,
LogHosp,,,,User.CTHospital,LogHosp,13,登录医院,
OperDate,,,,%Date,OperDate,9,添加日期,
OperTime,,,,%Time,OperTime,10,添加时间,
OutText,,,,%String,OutText,11,医保返回值,
PapmiDr,,,,User.PAPatMas,Papmi_Dr,18,患者信息表外键,
Pointer,,,,%String,Pointer,3,业务指针,
SetlType,,,,%String,SetlType,7,就诊结算类型(1-医保结算 2-自费结算),
Text,,,,%String,Text,4,上传内容,
TrdnFlag,,,,%String,TrdnFlag,15,拆零标志(0-不拆零 1-拆零),
Type,,,,%String,Type,2,业务类型,
TypeManf,,,,%String,TypeManf,14,医保厂商,
UpLoadTimes,,,,%Integer,UpLoadTimes,20,上传次数,
