值域代码,值域名称,代码,名称,说明
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,01,汉族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,02,蒙古族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,03,回族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,04,藏族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,05,维吾尔族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,06,苗族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,07,彝族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,08,壮族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,09,布依族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,10,朝鲜族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,11,满族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,12,侗族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,13,瑶族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,14,白族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,15,土家族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,16,哈尼族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,17,哈萨克族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,18,傣族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,19,黎族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,20,傈僳族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,21,佤族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,22,畲族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,23,高山族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,24,拉祜族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,25,水族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,26,东乡族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,27,纳西族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,28,景颇族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,29,柯尔克孜族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,30,土族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,31,达斡尔族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,32,仫佬族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,33,羌族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,34,布朗族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,35,撒拉族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,36,毛南族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,37,仡佬族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,38,锡伯族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,39,阿昌族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,40,普米族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,41,塔吉克族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,42,怒族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,43,乌孜别克族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,44,俄罗斯族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,45,鄂温克族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,46,德昂族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,47,保安族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,48,裕固族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,49,京族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,50,塔塔尔族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,51,独龙族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,52,鄂伦春族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,53,赫哲族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,54,门巴族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,55,珞巴族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,56,基诺族,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,99,未说明,
GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,66,外籍人士,
GB/T 16835-1997,高等学校本科、专科专业名称代码,1,哲学,
GB/T 16835-1997,高等学校本科、专科专业名称代码,2,经济学,
GB/T 16835-1997,高等学校本科、专科专业名称代码,3,法学,
GB/T 16835-1997,高等学校本科、专科专业名称代码,4,教育学,
GB/T 16835-1997,高等学校本科、专科专业名称代码,5,文学,
GB/T 16835-1997,高等学校本科、专科专业名称代码,6,历史学,
GB/T 16835-1997,高等学校本科、专科专业名称代码,7,理学,
GB/T 16835-1997,高等学校本科、专科专业名称代码,8,工学,
