章号,章名,值域代码,值域名称,代码,名称,说明
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,01,汉族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,02,蒙古族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,03,回族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,04,藏族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,05,维吾尔族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,06,苗族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,07,彝族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,08,壮族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,09,布依族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,10,朝鲜族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,11,满族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,12,侗族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,13,瑶族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,14,白族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,15,土家族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,16,哈尼族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,17,哈萨克族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,18,傣族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,19,黎族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,20,傈僳族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,21,佤族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,22,畲族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,23,高山族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,24,拉祜族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,25,水族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,26,东乡族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,27,纳西族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,28,景颇族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,29,柯尔克孜族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,30,土族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,31,达斡尔族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,32,仫佬族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,33,羌族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,34,布朗族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,35,撒拉族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,36,毛南族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,37,仡佬族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,38,锡伯族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,39,阿昌族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,40,普米族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,41,塔吉克族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,42,怒族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,43,乌孜别克族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,44,俄罗斯族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,45,鄂温克族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,46,德昂族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,47,保安族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,48,裕固族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,49,京族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,50,塔塔尔族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,51,独龙族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,52,鄂伦春族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,53,赫哲族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,54,门巴族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,55,珞巴族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,56,基诺族,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,99,未说明,
2,国家标准代码,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,66,外籍人士,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,1,哲学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,2,经济学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,3,法学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,4,教育学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,5,文学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,6,历史学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,7,理学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,8,工学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,9,农学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,10,医学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,1001,基础医学类,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,1002,预防医学类,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,1003,临床医学与医学技术类,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,100301,临床医学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,100302,麻醉学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,100303,医学影像学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,100304,医学检验,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,100399,其他医学技术专业,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,1004,口腔医学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,1005,中医学类,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,100501,中医学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,100502,针灸推拿学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,100599,中医学类其他专业,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,1006,法医学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,1007,护理学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,1008,药学类,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,100801,药学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,100802,中药学,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,100899,其他药学专业,
2,国家标准代码,GB/T 16835-1997,高等学校本科、专科专业名称代码,11,管理类,
2,国家标准代码,GB/T 2261.1-2003,性别代码,0,未知的性别,
2,国家标准代码,GB/T 2261.1-2003,性别代码,1,男性,
2,国家标准代码,GB/T 2261.1-2003,性别代码,2,女性,
2,国家标准代码,GB/T 2261.1-2003,性别代码,9,未说明的性别,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,10,未婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,20,已婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,21,初婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,22,再婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,23,复婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,30,丧偶,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,40,离婚,
2,国家标准代码,GB/T 2261.2-2003,婚姻状况类别代码,90,未说明的婚姻状况,
2,国家标准代码,GB/T 2659-2000,国籍代码,01,阿富汗,
2,国家标准代码,GB/T 2659-2000,国籍代码,02,阿尔巴尼亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,03,阿尔及利亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,04,美属萨摩亚,
2,国家标准代码,GB/T 2659-2000,国籍代码,05,安道尔,
2,国家标准代码,GB/T 2659-2000,国籍代码,06,安哥拉,
2,国家标准代码,GB/T 2659-2000,国籍代码,07,安圭拉,
2,国家标准代码,GB/T 2659-2000,国籍代码,08,南极洲,
2,国家标准代码,GB/T 2659-2000,国籍代码,09,安提瓜和巴布达,
2,国家标准代码,GB/T 2659-2000,国籍代码,10,阿根廷,
2,国家标准代码,GB/T 2659-2000,国籍代码,11,亚美尼亚,
