序号,章号,章名,节号,值域代码,值域名称,条目数
2,2,国家标准代码,2.1,GB/T 3304-1991,中国各民族名称罗马字母拼音写法和代码,58
3,2,国家标准代码,2.2,GB/T 16835-1997,高等学校本科、专科专业名称代码,30
4,2,国家标准代码,2.3,GB/T 2261.1-2003,性别代码,4
5,2,国家标准代码,2.4,GB/T 2261.2-2003,婚姻状况类别代码,8
6,2,国家标准代码,2.5,GB/T 2659-2000,国籍代码,239
7,2,国家标准代码,2.6,GB/T 4658-2006,学历代码,40
8,2,国家标准代码,2.7,GB/T 8561-2001,专业技术职务代码,295
9,2,国家标准代码,2.8,GB/T 12407-2008,职务级别代码,35
10,2,国家标准代码,2.9,GB/T 2260-2007,行政区划代码,3236
11,2,国家标准代码,2.10,GB/T 4761-2008,联系人关系,9
12,2,国家标准代码,2.11,GB/T 12404-1997,单位隶属关系代码,12
13,2,国家标准代码,2.12,GBT6864_2003,学位代码,56
14,2,国家标准代码,2.13,GB/T 16751.3-2023,中医临床诊疗术语 第3部分：治法,1168
15,2,国家标准代码,2.14,GB/T 6565-2015,职业类别代码,511
16,3,行业标准代码,3.1,CS03.01.026,剂型代码表,79
17,3,行业标准代码,3.2,CV02.01.202,患者职业代码表,18
18,3,行业标准代码,3.3,CV05.10.012,随访评价结果代码,4
19,3,行业标准代码,3.4,CV06.00.207,随访方式代码,6
20,3,行业标准代码,3.5,CV09.00.404,患者类型代码表,4
21,3,行业标准代码,3.6,CV04.01.007,疑似结核患者症状代码表,4
22,3,行业标准代码,3.7,CV04.01.009,精神症状代码表,12
23,3,行业标准代码,3.8,CV04.10.015,足背动脉搏动代码表,4
24,3,行业标准代码,3.9,CV07.10.003,医疗费用支付方式,13
25,3,行业标准代码,3.10,CV05.10.001,残疾情况代码表,8
26,3,行业标准代码,3.11,CV5101.27,症状代码(健康检查),27
27,3,行业标准代码,3.12,CV04.01.013,老年人健康状态自我评估代码表,5
28,3,行业标准代码,3.13,CV04.01.014,老年人生活自理能力自我评估代码表,4
29,3,行业标准代码,3.14,CV06.00.101,中药使用类别代码表,4
30,3,行业标准代码,3.15,WS 218-2002,卫生机构（组织）分类与代码,257
31,3,行业标准代码,3.16,CV03.00.107,饮食习惯代码表,6
32,3,行业标准代码,3.17,CV06.00.226,离院方式代码表,6
33,3,行业标准代码,3.18,CV03.00.105,饮酒种类代码表,7
34,3,行业标准代码,3.19,CV04.10.007,口唇外观代码表,6
35,3,行业标准代码,3.20,CV04.10.010,齿列类别代码表,4
36,3,行业标准代码,3.21,CV04.10.004,皮肤检查结果代码表,9
37,3,行业标准代码,3.22,CV04.10.006,巩膜检查结果代码,4
38,3,行业标准代码,3.23,CV04.10.011,淋巴结检查结果代码,4
39,3,行业标准代码,3.24,CV04.10.014,下肢水肿检查结果代码,4
40,3,行业标准代码,3.25,CV04.10.013,肛门指诊检查结果代码表,5
41,3,行业标准代码,3.26,CV04.10.012,乳腺检查结果代码表,7
42,3,行业标准代码,3.27,CV04.50.005,ABO血型代码,6
43,3,行业标准代码,3.28,CV03.00.301,环境危险因素暴露类别代码表,6
44,3,行业标准代码,3.29,CV06.00.229,医嘱项目类型代码,9
45,3,行业标准代码,3.30,CV05.10.022,手术切口类别代码,4
46,3,行业标准代码,3.31,CV05.10.010,病情转归代码表,9
47,3,行业标准代码,3.32,CV06.00.227,操作部位代码表,49
48,3,行业标准代码,3.33,CV06.00.103,麻醉方法代码表,26
49,3,行业标准代码,3.34,CV02.01.102,出生(分娩)地点类别代码,9
50,3,行业标准代码,3.35,CV02.01.201,血缘关系代码,6
51,3,行业标准代码,3.36,CV5501.14,手术切口愈合等级,17
52,3,行业标准代码,3.37,CV04.50.019,阴道分泌物检查结果代码表,4
53,3,行业标准代码,3.38,CV04.50.010,阴道分泌物清洁度代码,4
54,3,行业标准代码,3.39,CV05.10.006,儿童生长发育评价结果代码,7
55,3,行业标准代码,3.40,CV04.10.021,可疑佝偻病症状代码,5
56,3,行业标准代码,3.41,CV06.00.217,儿童健康指导类别代码,7
57,3,行业标准代码,3.42,CV04.50.006,采血方式代码,5
58,3,行业标准代码,3.43,CV04.50.007,采血部位代码,7
59,3,行业标准代码,3.44,CV04.50.009,新生儿疾病筛查方法代码,7
60,3,行业标准代码,3.45,CV09.00.301,检查结果通知形式代码表,6
61,3,行业标准代码,3.46,CV05.01.039,5岁以下儿童死因分类代码,35
62,3,行业标准代码,3.47,CV5502.20,疾病诊断类别代码,14
63,3,行业标准代码,3.48,CV5502.21,中医疾病诊断类别代码,6
64,3,行业标准代码,3.49,CV08.10.004,主要致死疾病的最高诊断机构级别代码,8
65,3,行业标准代码,3.50,CV05.10.015,5岁以下儿童未治疗或未就医原因代码表,6
66,3,行业标准代码,3.51,CV05.01.037,死亡最高诊断依据类别代码,7
67,3,行业标准代码,3.52,CV04.10.001,附件检查结果代码,6
68,3,行业标准代码,3.53,CV04.10.003,妇科检查方式代码,6
69,3,行业标准代码,3.54,CV05.10.005,婚前医学检查结果代码,5
70,3,行业标准代码,3.55,CV06.00.210,婚检医学意见代码,5
71,3,行业标准代码,3.56,CV02.10.002,妊娠终止方式代码,17
72,3,行业标准代码,3.57,CV04.01.001,妇科及乳腺不适症状代码,16
73,3,行业标准代码,3.58,CV06.00.104,宫内节育器放置时期代码,10
74,3,行业标准代码,3.59,CV08.50.101,宫内节育器种类代码,9
75,3,行业标准代码,3.60,CV06.00.105,皮下埋植剂埋植时期代码,4
76,3,行业标准代码,3.61,CV06.00.106,输卵管结扎手术方式代码,4
77,3,行业标准代码,3.62,CV06.00.107,输卵管结扎部位代码,5
78,3,行业标准代码,3.63,CV04.10.002,子宫大小代码,4
79,3,行业标准代码,3.64,CV02.10.005,既往常见疾病种类代码表,20
80,3,行业标准代码,3.65,CV03.00.403,接触有害因素类别代码表,12
81,3,行业标准代码,3.66,CV05.01.007,胎方位代码表,23
82,3,行业标准代码,3.67,CV04.50.015,尿实验室定性检测结果代码,7
83,3,行业标准代码,3.68,CV06.00.219,孕产妇健康指导类别代码,14
84,3,行业标准代码,3.69,CV05.01.010,会阴裂伤情况代码表,5
85,3,行业标准代码,3.70,CV05.01.009,产时并发症代码表,11
86,3,行业标准代码,3.71,CV06.00.108,新生儿抢救方法代码,7
87,3,行业标准代码,3.72,CV05.01.013,新生儿并发症代码表,14
88,3,行业标准代码,3.73,CV05.01.011,伤口愈合状况代码表,4
89,3,行业标准代码,3.74,CV04.50.008,新生儿疾病筛查项目代码,7
90,3,行业标准代码,3.75,CV04.01.012,儿童大便性状代码,13
91,3,行业标准代码,3.76,CV04.10.008,儿童面色代码,6
92,3,行业标准代码,3.77,CV04.10.009,黄疸部位代码,6
93,3,行业标准代码,3.78,CV04.10.018,前囱张力代码表,4
94,3,行业标准代码,3.79,CV04.10.019,脐带检查结果代码,4
95,3,行业标准代码,3.80,CV03.00.401,孕早期服药类别代码,5
96,3,行业标准代码,3.81,CV02.10.001,家族近亲婚配者与本人关系代码,4
97,3,行业标准代码,3.82,CV08.30.004,助产人员类别代码表,4
98,3,行业标准代码,3.83,CV05.10.016,影响孕产妇死亡的主要因素代码表,22
99,3,行业标准代码,3.84,CV06.00.211,避孕方式代码,9
100,3,行业标准代码,3.85,CV03.00.104,饮酒频率代码表,9
101,3,行业标准代码,3.86,CV08.50.001,疫苗名称代码表,49
102,3,行业标准代码,3.87,CV02.10.003,分娩方式代码,12
103,3,行业标准代码,3.88,CV02.10.004,出生缺陷儿结局代码,7
104,3,行业标准代码,3.89,CV05.01.014,出生缺陷诊断依据代码表,9
105,3,行业标准代码,3.90,CV05.01.015,出生缺陷确诊时间类别代码表,5
106,3,行业标准代码,3.91,CV05.01.016,出生缺陷类别代码表,39
107,3,行业标准代码,3.92,CV05.01.005,中医体质分类代码表,10
108,3,行业标准代码,3.93,CV04.50.011,阴道细胞学诊断结果代码表,22
109,3,行业标准代码,3.94,CV04.10.020,儿童体格发育评价代码表,6
110,3,行业标准代码,3.95,CV04.10.022,可疑佝偻病体征代码,10
111,3,行业标准代码,3.96,CV05.10.007,儿童体弱原因类别代码表,8
112,3,行业标准代码,3.97,CV02.01.212,户籍类型代码表,4
113,3,行业标准代码,3.98,CV03.00.402,孕产期高危因素代码表,66
114,3,行业标准代码,3.99,CV02.01.203,家庭年人均收入代码表,5
115,3,行业标准代码,3.100,CV05.01.006,孕产妇死亡根本死因分类代码表,44
116,3,行业标准代码,3.101,CV04.30.109,宫颈组织病理学检查结果代码表,12
117,3,行业标准代码,3.102,CV5301.06,药物类型代码,182
118,3,行业标准代码,3.103,CV05.01.026,肿瘤临床分期代码表,6
119,3,行业标准代码,3.104,CV06.00.223,手术体位代码,7
120,3,行业标准代码,3.105,WS 445.5-2014,美国麻醉医师学会(ASA)分级标准代码表,5
121,4,自定义值域代码,4.1,LY.00.1,消息类型,5
122,4,自定义值域代码,4.2,LY.00.2,发货类型,13
123,4,自定义值域代码,4.3,LY.00.3,药品分类代码,8
124,4,自定义值域代码,4.4,LY.00.4,监测点类型,5
125,4,自定义值域代码,4.5,LY.00.5,特殊药品标志,7
126,4,自定义值域代码,4.6,LY.00.6,收货类型,9
127,4,自定义值域代码,4.7,LY.00.12,中医药健康指导代码,4
128,4,自定义值域代码,4.8,LY.00.17,危害行为代码,7
129,4,自定义值域代码,4.9,LY.00.19,随访类型代码,12
130,4,自定义值域代码,4.10,LY.00.20,高危因素代码,73
131,4,自定义值域代码,4.11,LY.00.26,死亡原因,14
132,4,自定义值域代码,4.12,LY.00.31,本次随访分类编码,4
133,4,自定义值域代码,4.13,LY.00.36,妊娠期患病情况代码,4
134,4,自定义值域代码,4.14,LY.00.37,治疗效果,4
135,4,自定义值域代码,4.15,LY.00.38,出生地点,4
136,4,自定义值域代码,4.16,LY.00.39,医保区划数据来源,5
137,4,自定义值域代码,4.17,LY.00.40,公务员等级,12
138,4,自定义值域代码,4.18,LY.00.41,手术级别,6
139,4,自定义值域代码,4.19,LY.00.42,药物过敏史代码,5
140,4,自定义值域代码,4.20,LY.00.46,隶属关系,15
141,4,自定义值域代码,4.21,LY.00.47,所属行业,114
142,4,自定义值域代码,4.22,LY.00.48,计划生育类别,150
143,4,自定义值域代码,4.23,LY.00.49,生育类别,26
144,4,自定义值域代码,4.24,LY.00.50,药物使用频次代码表,34
145,4,自定义值域代码,4.25,LY.00.51,卫生监督诊疗科目代码,225
146,4,自定义值域代码,4.26,LY.00.52,二级清算类别,219
147,4,自定义值域代码,4.27,LY.00.53,药品剂型,289
148,4,自定义值域代码,4.28,LY.00.54,医疗收费项目类别,137
149,4,自定义值域代码,4.29,LY.00.55,医疗类别,107
150,4,自定义值域代码,4.30,LY.00.57,特殊人员类型等级,9
151,4,自定义值域代码,4.31,LY.00.58,包装材质,114
152,4,自定义值域代码,4.32,LY.00.59,包装规格,35
153,4,自定义值域代码,4.33,LY.00.60,医保人员类别,57
154,4,自定义值域代码,4.34,LY.00.61,药理分类,1309
155,4,自定义值域代码,4.35,LY.00.62,基金支付类型,81
156,4,自定义值域代码,4.36,LY.00.63,险种类型,20
157,4,自定义值域代码,4.37,LY.00.64,最小包装单位,19
158,4,自定义值域代码,4.38,LY.00.65,最小计量单位,18
159,4,自定义值域代码,4.39,LY.00.66,服务项目类别,4
160,4,自定义值域代码,4.40,LY.00.67,医院等级,14
161,4,自定义值域代码,4.41,LY.00.68,经济类型,34
162,4,自定义值域代码,4.42,LY.00.69,单位管理类型,31
163,4,自定义值域代码,4.43,LY.00.70,医保单位类型,66
164,4,自定义值域代码,4.44,LY.00.71,院内人员类别,6
165,4,自定义值域代码,4.45,LY.00.72,目录特项标志,18
166,4,自定义值域代码,4.46,LY.00.73,目录类别,9
167,4,自定义值域代码,4.47,LY.00.75,医保区划级别,7
168,4,自定义值域代码,4.48,LY.00.76,代办人关系,8
169,4,自定义值域代码,4.49,LY.00.77,复核标志,14
170,4,自定义值域代码,4.50,LY.00.78,异地安置类别,7
171,4,自定义值域代码,4.51,LY.00.79,给药途径,26
172,4,自定义值域代码,4.52,LY.00.80,支付地点类别,6
173,4,自定义值域代码,4.53,LY.00.81,支付结果分类,5
174,4,自定义值域代码,4.54,LY.00.82,医疗机构等级,4
175,4,自定义值域代码,4.55,LY.00.83,信用等级,4
176,4,自定义值域代码,4.56,LY.00.84,申报来源,9
177,4,自定义值域代码,4.57,LY.00.85,起付线医院等级,6
178,4,自定义值域代码,4.58,LY.00.86,医保诊断类别,5
179,4,自定义值域代码,4.59,LY.00.87,病种类型代码,9
180,4,自定义值域代码,4.60,LY.00.88,企业性质,9
181,4,自定义值域代码,4.61,LY.00.89,企业类型,7
182,4,自定义值域代码,4.62,LY.00.90,医疗机构的机构性质,6
183,4,自定义值域代码,4.63,LY.00.91,医疗服务机构类型,258
184,4,自定义值域代码,4.64,LY.00.92,医师执业类别,4
185,4,自定义值域代码,4.65,LY.00.93,药师执业类别,4
186,4,自定义值域代码,4.66,LY.00.95,医师执业范围,28
187,4,自定义值域代码,4.67,LY.00.96,药师执业范围,4
188,4,自定义值域代码,4.68,LY.00.97,人员证件类型,22
189,4,自定义值域代码,4.69,LY.00.98,支付方式,5
190,4,自定义值域代码,4.70,LY.00.99,个人结算方式,14
191,4,自定义值域代码,4.71,LY.00.100,清算方式,43
192,4,自定义值域代码,4.72,LY.00.101,清算类别,4
193,4,自定义值域代码,4.73,LY.00.102,零星报销原因,31
194,4,自定义值域代码,4.74,LY.00.103,学校类型,23
195,4,自定义值域代码,4.75,LY.00.104,学校性质,4
196,4,自定义值域代码,4.76,LY.00.105,结算类型,6
197,4,自定义值域代码,4.77,LY.00.106,生产地类别,2
198,4,自定义值域代码,4.78,LY.00.107,检查类型,10
199,4,自定义值域代码,4.79,LY.00.108,医院医疗专业设备编码目录,39
200,4,自定义值域代码,4.80,LY.00.109,医嘱大类,28
201,4,自定义值域代码,4.81,LY.00.110,医嘱子类,235
202,4,自定义值域代码,4.82,LY.00.117,入院途径,4
203,4,自定义值域代码,4.83,LY.00.120,预约途径,6
204,4,自定义值域代码,4.84,LY.00.125,手术类型,6
205,4,自定义值域代码,4.85,LY.00.126,症状代码2,7
206,4,自定义值域代码,4.86,LY.00.133,治疗类别,5
207,4,自定义值域代码,4.87,LY.00.135,体质辨识情况,5
208,4,自定义值域代码,4.88,LY.00.144,肿块（右）大小编码,4
209,4,自定义值域代码,4.89,LY.00.146,肿块（右）活动度编码,4
210,4,自定义值域代码,4.90,LY.00.152,子宫临床表现代码,13
211,4,自定义值域代码,4.91,LY.00.153,组织病理学诊断代码,8
212,4,自定义值域代码,4.92,LY.00.154,调动情况代码,14
213,4,自定义值域代码,4.93,LY.00.156,行政/业务管理职务代码,6
214,4,自定义值域代码,4.94,LY.00.161,标本类型,157
215,4,自定义值域代码,4.95,LY.00.166,处方类别,6
216,4,自定义值域代码,4.96,LY.00.181,就诊类型,6
217,4,自定义值域代码,4.97,LY.00.182,就诊类型标志（用于区分就诊业务）,9
218,4,自定义值域代码,4.98,LY.00.183,就诊类型标志（用于区分住院就诊业务类型）,5
219,4,自定义值域代码,4.99,LY.00.198,妊娠结局类别代码,9
220,4,自定义值域代码,4.100,LY.00.200,压力类别代码表,4
221,4,自定义值域代码,4.101,LY.00.201,男科疾病类别代码表,5
222,4,自定义值域代码,4.102,LY.00.202,智力异常类别代码表,4
223,4,自定义值域代码,4.103,LY.00.203,睾丸检查结果类别代码表,4
224,4,自定义值域代码,4.104,LY.00.204,服用叶酸开始时间类别代码表,4
225,4,自定义值域代码,4.105,LY.00.205,停经后患有具体症状或疾病类别代码表,7
226,4,自定义值域代码,4.106,LY.00.206,确认早孕结果的机构类别代码表,8
227,4,自定义值域代码,4.107,LY.00.207,尿妊娠试验和B超检查结果类别代码表,5
228,4,自定义值域代码,4.108,LY.00.208,婴儿 42 天存活状况类别代码表,4
229,4,自定义值域代码,4.109,LY.00.209,孕早期患病情况类别代码表,5
230,4,自定义值域代码,4.110,LY.00.210,诊断出生缺陷儿级别的类别代码表,4
231,4,自定义值域代码,4.111,LY.00.211,麻醉精神类药品标志,4
232,4,自定义值域代码,4.112,LY.00.231,用药依从性代码,4
233,4,自定义值域代码,4.113,LY.00.233,糖尿病症状编码,10
234,4,自定义值域代码,4.114,LY.00.234,传染病代码,55
235,4,自定义值域代码,4.115,LY.00.235,处方类型,5
236,4,自定义值域代码,4.116,LY.00.236,标本代码,47
237,4,自定义值域代码,4.117,LY.00.237,报告单类别代码,8
238,4,自定义值域代码,4.118,LY.00.238,检查部位代码,9
239,4,自定义值域代码,4.119,LY.00.239,检验结果代码,6
240,4,自定义值域代码,4.120,LY.00.240,检验检查异常提示代码,9
241,4,自定义值域代码,4.121,LY.00.241,检验检查就诊卡类型代码,6
242,4,自定义值域代码,4.122,LY.00.242,外地标志,5
243,4,自定义值域代码,4.123,LY.00.243,急诊分级,4
244,4,自定义值域代码,4.124,LY.00.244,儿童营养性疾病因素类别代码表,5
245,4,自定义值域代码,4.125,LY.00.245,医疗卡类型,10
246,4,自定义值域代码,4.126,LY.00.246,急诊患者去向,8
247,4,自定义值域代码,4.127,LY.00.247,医学影像检查结果互认项目,100
248,4,自定义值域代码,4.128,LY.00.248,医院性质,6
249,4,自定义值域代码,4.129,LY.00.249,传染病疾病编码,187
250,4,自定义值域代码,4.130,LY.00.250,Rh血型,4
251,4,自定义值域代码,4.131,LY.00.252,法定传染病分类,4
252,4,自定义值域代码,4.132,LY.00.253,实施DRGs管理,4
253,4,自定义值域代码,4.133,LY.00.254,入院病情代码,4
254,4,自定义值域代码,4.134,LY.00.255,病例首页费用分类,28
255,4,自定义值域代码,4.135,LY.00.256,处方类型代码表,10
256,4,自定义值域代码,4.136,LY.00.257,医嘱项目类别代码,22
257,4,自定义值域代码,4.137,LY.00.258,中药煎煮法代码,8
258,4,自定义值域代码,4.138,LY.00.259,患者就诊来源,4
259,4,自定义值域代码,4.139,LY.00.260,医嘱状态代码,7
260,4,自定义值域代码,4.140,LY.00.261,执行周期时间单位代码,6
261,4,自定义值域代码,4.141,LY.00.262,药物分类代码,6
262,4,自定义值域代码,4.142,LY.00.263,不良事件类别代码,51
263,4,自定义值域代码,4.143,LY.00.264,事件发生等级代码（不良事件),4
264,4,自定义值域代码,4.144,LY.00.265,临床研究分类代码（不良事件）,6
265,4,自定义值域代码,4.145,LY.00.266,SAE情况代码（不良事件）,8
266,4,自定义值域代码,4.146,LY.00.267,对试验用药采取的措施代码（不良事件）,4
267,4,自定义值域代码,4.147,LY.00.268,SAE与实验药的关系代码（不良事件）,5
268,4,自定义值域代码,4.148,LY.00.269,事件发生场所代码（不良事件）,6
269,4,自定义值域代码,4.149,LY.00.270,不良事件结果代码,4
270,4,自定义值域代码,4.150,LY.00.271,停药或减量后反应状态代码,5
271,4,自定义值域代码,4.151,LY.00.272,生产企业信息来源代码,6
272,4,自定义值域代码,4.152,LY.00.273,出入库方式,8
273,4,自定义值域代码,4.153,LY.00.274,处方点评状态,4
274,4,自定义值域代码,4.154,LY.00.275,挂号类别,6
275,4,自定义值域代码,4.155,LY.00.276,重症标识,4
276,4,自定义值域代码,4.156,LY.00.277,药物剂量单位代码,9
277,4,自定义值域代码,4.157,LY.00.278,检验定性结果,20
278,4,自定义值域代码,4.158,LY.00.279,密级,12
279,4,自定义值域代码,4.159,LY.00.280,预约状态,6
280,4,自定义值域代码,4.160,LY.00.281,支付状态,7
281,4,自定义值域代码,4.161,LY.00.282,麻醉反应标志,4
282,4,自定义值域代码,4.162,LY.00.283,治疗类型,5
283,4,自定义值域代码,4.163,LY.00.284,治疗状态,5
284,4,自定义值域代码,4.164,LY.00.285,治疗效果,4
285,4,自定义值域代码,4.165,LY.00.286,评估状态,4
286,4,自定义值域代码,4.166,LY.00.287,卒中治疗类型,5
