propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
MRADM,,"^",6,%Library.String,MR_ADM,7,MR_ADM,
MRBAFX,,"^",291,%Library.String,MR_BAFX,292,MR_BAFX,
MRBAH,,"^",4,%Library.String,MR_BAH,5,MR_BAH,
MRBAZL,,"^",277,%Library.String,MR_BAZL,278,MR_BAZL,
MRBDBLZPF,,"^",253,%Library.String,MR_BDBLZPF,254,MR_BDBLZPF,
MRBLH,,"^",263,%Library.String,MR_BLH,264,MR_BLH,
MRBLZD,,"^",261,%Library.String,MR_BLZD,262,MR_BLZD,
MRBLZDBM,,"^",262,%Library.String,MR_BLZDBM,263,MR_BLZDBM,
MRBLZDF,,"^",237,%Library.String,MR_BLZDF,238,MR_BLZDF,
MRBMY,,"^",276,%Library.String,MR_BMY,277,MR_BMY,
MRBYXJC,,"^",333,%Library.String,MR_BYXJC,334,MR_BYXJC,
MRBZZSNN,,"^",13,%Library.String,MR_BZZSNN,14,MR_BZZSNN,
MRCFCS,,"^",328,%Library.String,MR_CFCS,329,MR_CFCS,
MRCSD,,"^",16,%Library.String,MR_CSD,17,MR_CSD,
MRCSRQ,,"^",10,%Library.Date,MR_CSRQ,11,MR_CSRQ,
MRCYBF,,"^",41,%Library.String,MR_CYBF,42,MR_CYBF,
MRCYKB,,"^",40,%Library.String,MR_CYKB,41,MR_CYKB,
MRCYQTZD1,,"^",56,%Library.String,MR_CYQTZD1,57,MR_CYQTZD1,
MRCYQTZD10,,"^",92,%Library.String,MR_CYQTZD10,93,MR_CYQTZD10,
MRCYQTZD11,,"^",96,%Library.String,MR_CYQTZD11,97,MR_CYQTZD11,
MRCYQTZD12,,"^",100,%Library.String,MR_CYQTZD12,101,MR_CYQTZD12,
MRCYQTZD13,,"^",104,%Library.String,MR_CYQTZD13,105,MR_CYQTZD13,
MRCYQTZD14,,"^",108,%Library.String,MR_CYQTZD14,109,MR_CYQTZD14,
MRCYQTZD15,,"^",112,%Library.String,MR_CYQTZD15,113,MR_CYQTZD15,
MRCYQTZD16,,"^",353,%Library.String,MR_CYQTZD16,354,新增6个诊断  add by zlf 20191112
MR_CYQTZD16,
MRCYQTZD17,,"^",357,%Library.String,MR_CYQTZD17,358,MR_CYQTZD17,
MRCYQTZD18,,"^",361,%Library.String,MR_CYQTZD18,362,MR_CYQTZD18,
MRCYQTZD19,,"^",365,%Library.String,MR_CYQTZD19,366,MR_CYQTZD19,
MRCYQTZD2,,"^",60,%Library.String,MR_CYQTZD2,61,MR_CYQTZD2,
MRCYQTZD20,,"^",369,%Library.String,MR_CYQTZD20,370,MR_CYQTZD20,
MRCYQTZD21,,"^",373,%Library.String,MR_CYQTZD21,374,MR_CYQTZD21,
MRCYQTZD3,,"^",64,%Library.String,MR_CYQTZD3,65,MR_CYQTZD3,
MRCYQTZD4,,"^",68,%Library.String,MR_CYQTZD4,69,MR_CYQTZD4,
MRCYQTZD5,,"^",72,%Library.String,MR_CYQTZD5,73,MR_CYQTZD5,
MRCYQTZD6,,"^",76,%Library.String,MR_CYQTZD6,77,MR_CYQTZD6,
MRCYQTZD7,,"^",80,%Library.String,MR_CYQTZD7,81,MR_CYQTZD7,
MRCYQTZD8,,"^",84,%Library.String,MR_CYQTZD8,85,MR_CYQTZD8,
MRCYQTZD9,,"^",88,%Library.String,MR_CYQTZD9,89,MR_CYQTZD9,
MRCYQTZDMC1,,"^",57,%Library.String,MR_CYQTZDMC1,58,MR_CYQTZDMC1,
MRCYQTZDMC10,,"^",93,%Library.String,MR_CYQTZDMC10,94,MR_CYQTZDMC10,
MRCYQTZDMC11,,"^",97,%Library.String,MR_CYQTZDMC11,98,MR_CYQTZDMC11,
MRCYQTZDMC12,,"^",101,%Library.String,MR_CYQTZDMC12,102,MR_CYQTZDMC12,
MRCYQTZDMC13,,"^",105,%Library.String,MR_CYQTZDMC13,106,MR_CYQTZDMC13,
MRCYQTZDMC14,,"^",109,%Library.String,MR_CYQTZDMC14,110,MR_CYQTZDMC14,
MRCYQTZDMC15,,"^",113,%Library.String,MR_CYQTZDMC15,114,MR_CYQTZDMC15,
MRCYQTZDMC16,,"^",354,%Library.String,MR_CYQTZDMC16,355,MR_CYQTZDMC16,
MRCYQTZDMC17,,"^",358,%Library.String,MR_CYQTZDMC17,359,MR_CYQTZDMC17,
MRCYQTZDMC18,,"^",362,%Library.String,MR_CYQTZDMC18,363,MR_CYQTZDMC18,
MRCYQTZDMC19,,"^",366,%Library.String,MR_CYQTZDMC19,367,MR_CYQTZDMC19,
MRCYQTZDMC2,,"^",61,%Library.String,MR_CYQTZDMC2,62,MR_CYQTZDMC2,
MRCYQTZDMC20,,"^",370,%Library.String,MR_CYQTZDMC20,371,MR_CYQTZDMC20,
