MR_YLFFFS	医疗付费方式
MR_JKKH	健康卡号
MR_ZYCS	住院次数
MR_BAH	病案号
MR_ZYH	住院号
MR_ADM	就诊号
MR_PapmiDr	Papatmas
MR_XM	姓名
MR_XB	性别
MR_CSRQ	出生日期
MR_NN	年龄
MR_GJ	国籍
MR_BZZSNN	（年龄不足一周岁）年龄
MR_XSECSTZ	新生儿出生体重
MR_XSERYTZ	新生儿入院体重
MR_CSD	出生地
MR_JG	籍贯
MR_MZ	民族
MR_SFZH	身份证号
MR_ZY	职业
MR_HY	婚姻
MR_XZZ	现住址
MR_XZZDH	电话
MR_XZZYB	邮编
MR_HKDZ	户口地址
MR_HKYB	邮编
MR_GZDWDZ	工作单位地址
MR_GZDWDH	电话
MR_GZDWYB	邮编
MR_LXRXM	联系人姓名
MR_LXRGX	关系
MR_LXRDZ	地址
MR_LXRDH	电话
MR_RYTJ	入院途径
MR_RYRQ	入院日期
MR_RYKB	入院科别
MR_RYBF	病房
MR_ZKKB	转科科别
MR_CYRQ	出院日期
MR_CYKB	出院科别
MR_CYBF	病房
MR_SJZYTS	实际住院天数
MR_MJZZDMC	门（急）诊诊断名称
MR_MJZZDJBBM	门（急）诊疾病编码
MR_RYBQ	入院病情
MR_LYFS	离院方式
MR_LYFSYLJSJGMC	医嘱转社区卫生服务机构/乡镇卫生院，接受医疗机构名称
MR_RYZD	入院诊断
MR_RYZDMC	入院诊断名称
MR_RYZDRYBQ	入院诊断入院病情
MR_RYHQZRQ	入院后确诊日期
MR_CYZYZD	出院主要诊断
MR_CYZYZDMC	出院主要诊断名称
MR_CYZYZDRYBQ	出院主要诊断入院病情
MR_CYZYZDZLJG	出院主要诊断治疗结果
MR_CYQTZD1	出院其他诊断1
MR_CYQTZDMC1	出院其他诊断名称1
MR_CYQTZDRYBQ1	出院其他诊断入院病情1
MR_ZYQTZDZLJG1	出院其他诊断治疗结果1
MR_CYQTZD2	出院其他诊断2
MR_CYQTZDMC2	出院其他诊断名称2
MR_CYQTZDRYBQ2	出院其他诊断入院病情2
MR_CYQTZDZLJG2	出院其他诊断治疗结果2
MR_CYQTZD3	出院其他诊断3
MR_CYQTZDMC3	出院其他诊断名称3
MR_CYQTZDRYBQ3	出院其他诊断入院病情3
MR_CYQTZDZLJG3	出院其他诊断治疗结果3
MR_CYQTZD4	出院其他诊断4
MR_CYQTZDMC4	出院其他诊断名称4
MR_CYQTZDRYBQ4	出院其他诊断入院病情4
MR_CYQTZDZLJG4	出院其他诊断治疗结果4
MR_CYQTZD5	出院其他诊断5
MR_CYQTZDMC5	出院其他诊断名称5
MR_CYQTZDRYBQ5	出院其他诊断入院病情5
MR_CTQTZDZLJG5	出院其他诊断治疗结果5
MR_CYQTZD6	出院其他诊断6
MR_CYQTZDMC6	出院其他诊断名称6
MR_CYQTZDRYBQ6	出院其他诊断入院病情6
MR_CYQTZDZLJG6	出院其他诊断治疗结果6
MR_CYQTZD7	出院其他诊断7
MR_CYQTZDMC7	出院其他诊断名称7
MR_CYQTZDRYBQ7	出院其他诊断入院病情7
MR_CYQTZDZLJG7	出院其他诊断治疗结果7
MR_CYQTZD8	出院其他诊断8
MR_CYQTZDMC8	出院其他诊断名称8
MR_CYQTZDRYBQ8	出院其他诊断入院病情8
MR_CYQTZDZLJG8	出院其他诊断治疗结果8
MR_CYQTZD9	出院其他诊断9
MR_CYQTZDMC9	出院其他诊断名称9
MR_CYQTZDRYBQ9	出院其他诊断入院病情9
MR_CYQTZDZLJG9	出院其他诊断治疗结果9
MR_CYQTZD10	出院其他诊断10
MR_CYQTZDMC10	出院其他诊断名称10
MR_CYQTZDRYBQ10	出院其他诊断入院病情10
MR_CYQTZDZLJG10	出院其他诊断治疗结果10
MR_CYQTZD11	出院其他诊断11
MR_CYQTZDMC11	出院其他诊断名称11
MR_CYQTZDRYBQ11	出院其他诊断入院病情11
MR_CYQTZDZLJG11	出院其他诊断治疗结果11
MR_CYQTZD12	出院其他诊断12
MR_CYQTZDMC12	出院其他诊断名称12
MR_CYQTZDRYBQ12	出院其他诊断入院病情12
MR_CYQTZDZLJG12	出院其他诊断治疗结果12
MR_CYQTZD13	出院其他诊断13
MR_CYQTZDMC13	出院其他诊断名称13
MR_CYQTZDRYBQ13	出院其他诊断入院病情13
MR_CYQTZDZLJG13	出院其他诊断治疗结果13
MR_CYQTZD14	出院其他诊断14
