===== TABLE 1 =====
修订日期 | 版本 | 更改条款及内容 | 修订人
20250526 | 1.0 | 值域代码初版 | 裴卓
20250630 | 1.1 | 添加药品耗材服务项目值域 | 裴卓
20250703 | 1.2 | 修正LY.00.251 | 裴卓
20250725 | 1.3 | 新增：(1)LY.00.303 发生区域、(2)LY.00.304 相关因素类别 | 裴卓
20250806 | 1.4 | 删除值域： CV03.00.302 厨房排风设施类别代码表 CV03.00.303 燃料类型代码 CV03.00.115 饮水类别代码表 CV03.00.304 厕所类别代码表 LY.00.217 居住类型 LY.00.218 主要生活来源 LY.00.94 社会活动类型 LY.00.16 护理照顾情况代码 LY.00.15个人健康状况 LY.00.23 结案原因 LY.00.220 进餐评分代码 LY.00.221 梳洗评分代码 LY.00.222 穿衣评分代码 LY.00.223 活动评分代码 LY.00.219 如厕评分代码 LY.00.134中医保健指导代码 LY.00.171检查症状代码 LY.00.191老年人健康状态代码 LY.00.194老年人生活自理代码 LY.00.74 运动频率代码 LY.00.114 乳腺情况代码 LY.00.113 乳头（左）编码 LY.00.112 阴道代码 LY.00.56 罗音情况代码 LY.00.212 脑血管疾病情况代码 LY.00.121 肾脏疾病情况代码 LY.00.145 心脏疾病情况代码 LY.00.157血管疾病情况代码 LY.00.159 眼部疾病情况代码 LY.00.139 危险因素控制情况代码 LY.00.172 健教形式代码 LY.00.177 接收健康教育人员类别代码 LY.00.151 子宫颈临床表现代码 LY.00.185 附件症状代码 LY.00.169 既往史代码 LY.00.189 个人史代码 LY.00.123 孕产史代码 LY.00.115 胎盘娩出代码 LY.00.116 乳腺增生（左）编码 LY.00.118产时并发症 LY.00.35 健康指导情况代码 LY.00.163 出生情况代码 LY.00.199 家族成员所患疾病类别代码表 LY.00.225 母亲妊娠期间患病情况代码 LY.00.128 指导类型代码 LY.00.226 随访月龄代码 LY.00.168 公卫疾病诊断代码 LY.00.227公卫体弱原因类型代码 LY.00.229 体弱儿随访记录表评估代码 LY.00.170 家庭年人均收入代码 LY.00.230 转归类型代码 LY.00.124 诊断依据代码 LY.00.129 地点类型代码 LY.00.175 接生者类型代码 LY.00.130 死亡分类代码 LY.00.22 诊断级别代码 LY.00.141 未治疗原因代码 LY.00.14 其他心脑血管疾病危险因素代码 LY.00.13 并存的相关疾病代码 LY.00.232 高血压症状编码 LY.00.11 病人来源代码 LY.00.34 症状编码 LY.00.32 就业情况代码 LY.00.33 最近一次治疗效果 LY.00.28 危险行为代码 LY.00.25 失访原因 LY.00.27 危险级别编码 LY.00.122 生产劳动及工作编码 LY.00.29 治疗效果编码 LY.00.30 康复措施编码 LY.00.176 肺结核症状代码 LY.00.24 督导人员选择 LY.00.228 停止治疗原因代码 LY.00.43 疾病代码 LY.00.18 病人所属区域名称 LY.00.21 疾病分类代码 LY.00.8 信息类别名称 LY.00.119 事件等级代码 LY.00.224 医疗卫生机构类别代码 LY.00.10 事件信息来源代码 LY.00.150 主要症状代码 LY.00.7 信息类别 LY.00.44 父亲(母亲、兄弟姐妹、子女)患病代码 LY.00.45 饮酒频率代码 LY.00.127 指标数据来源 LY.00.132 随访次数代码 LY.00.136 特殊情况（左）编码 LY.00.137 体格发育评价代码 LY.00.138 外阴代码 LY.00.140 中医健康问答代码 LY.00.142 肿块（右）编码 LY.00.143 腺体（左）编码 LY.00.148 肿块（右）形状编码 LY.00.149 周围组织（左）编码 LY.00.155 新生儿听力筛查代码 LY.00.158 血流分布（左）编码 LY.00.160 边缘特征（左）编码 LY.00.162 病人处理过程代码 LY.00.164 初步诊断异常代码 LY.00.165 初步诊断印象编码 LY.00.167 从事专业类别代码 LY.00.173 导管内癌组织学特性（亚型）编码 LY.00.174 儿童体检年龄代码 LY.00.178 分泌物代码 LY.00.179 接种部位代码 LY.00.180 分泌物检查代码 LY.00.184 康复措施编码 LY.00.186 抗菌类药品分级 LY.00.187 钙化（左）内容编码 LY.00.188 可疑佝偻病体征代码 LY.00.190 口唇情况代码 LY.00.192 巩膜情况代码 LY.00.193 后方回声特征（左）编码 LY.00.195 累及其他组织情况编码 LY.00.196 患者类别编码 LY.00.197 淋巴管侵犯编码 LY.00.131 医疗卫生机构部门代码 LY.00.111 腺体（右）编码 LY.00.9 事件发生场所代码 LY.00.147 新生儿畸形代码 LY.00.213 皮肤编码 LY.00.214 全家每月总收入编码 LY.00.215 认识来源编码 LY.00.216 乳导管扩张（左）编码 LY.00.219 如厕评分 LY.00.251 肿瘤TNM分期代码 | 裴卓
20251021 | 1.5 | 1、LY.00.238 检查部位代码 (1)添加99-其它值域代码 2、LY.00.273 出入库方式 (1)添加07-退货出库值域代码 (2)添加99-其他出库值域代码 | 
20251129 | 1.6 | 1、新增LY.00.305 分娩方式； 2、新增LY.00.306 手术指征； 3、新增LY.00.307 分娩结局 | 

===== TABLE 2 =====
代码 | 名称 | 说明
01 | 汉族 | 
02 | 蒙古族 | 
03 | 回族 | 
04 | 藏族 | 
05 | 维吾尔族 | 
06 | 苗族 | 
07 | 彝族 | 
08 | 壮族 | 
09 | 布依族 | 
10 | 朝鲜族 | 
11 | 满族 | 
12 | 侗族 | 
13 | 瑶族 | 
14 | 白族 | 
15 | 土家族 | 
16 | 哈尼族 | 
17 | 哈萨克族 | 
18 | 傣族 | 
19 | 黎族 | 
20 | 傈僳族 | 
21 | 佤族 | 
22 | 畲族 | 
23 | 高山族 | 
24 | 拉祜族 | 
25 | 水族 | 
26 | 东乡族 | 
27 | 纳西族 | 
28 | 景颇族 | 
29 | 柯尔克孜族 | 
30 | 土族 | 
31 | 达斡尔族 | 
32 | 仫佬族 | 
33 | 羌族 | 
34 | 布朗族 | 
35 | 撒拉族 | 
36 | 毛南族 | 
37 | 仡佬族 | 
38 | 锡伯族 | 
39 | 阿昌族 | 
40 | 普米族 | 
41 | 塔吉克族 | 
42 | 怒族 | 
43 | 乌孜别克族 | 
44 | 俄罗斯族 | 
45 | 鄂温克族 | 
46 | 德昂族 | 
47 | 保安族 | 
48 | 裕固族 | 
49 | 京族 | 
50 | 塔塔尔族 | 
51 | 独龙族 | 
52 | 鄂伦春族 | 
53 | 赫哲族 | 
54 | 门巴族 | 
55 | 珞巴族 | 
56 | 基诺族 | 
99 | 未说明 | 
66 | 外籍人士 | 

===== TABLE 3 =====
代码 | 名称 | 说明
1 | 哲学 | 
2 | 经济学 | 
3 | 法学 | 
4 | 教育学 | 
5 | 文学 | 
6 | 历史学 | 
7 | 理学 | 
8 | 工学 | 
9 | 农学 | 
10 | 医学 | 
1001 | 基础医学类 | 
1002 | 预防医学类 | 
1003 | 临床医学与医学技术类 | 
100301 | 临床医学 | 
100302 | 麻醉学 | 
100303 | 医学影像学 | 
100304 | 医学检验 | 
100399 | 其他医学技术专业 | 
1004 | 口腔医学 | 
1005 | 中医学类 | 
100501 | 中医学 | 
100502 | 针灸推拿学 | 
100599 | 中医学类其他专业 | 
1006 | 法医学 | 
1007 | 护理学 | 
1008 | 药学类 | 
100801 | 药学 | 
100802 | 中药学 | 
100899 | 其他药学专业 | 
11 | 管理类 | 

===== TABLE 4 =====
代码 | 名称 | 说明
0 | 未知的性别 | 
1 | 男性 | 
2 | 女性 | 
9 | 未说明的性别 | 

===== TABLE 5 =====
代码 | 名称 | 说明
10 | 未婚 | 
20 | 已婚 | 
21 | 初婚 | 
22 | 再婚 | 
23 | 复婚 | 
30 | 丧偶 | 
40 | 离婚 | 
90 | 未说明的婚姻状况 | 

===== TABLE 6 =====
代码 | 名称 | 说明
01 | 阿富汗 | 
02 | 阿尔巴尼亚 | 
03 | 阿尔及利亚 | 
04 | 美属萨摩亚 | 
05 | 安道尔 | 
06 | 安哥拉 | 
07 | 安圭拉 | 
08 | 南极洲 | 
09 | 安提瓜和巴布达 | 
10 | 阿根廷 | 
11 | 亚美尼亚 | 
12 | 阿鲁巴 | 
13 | 澳大利亚 | 
14 | 奥地利 | 
15 | 阿塞拜疆 | 
16 | 巴哈马 | 
17 | 巴林 | 
18 | 孟加拉国 | 
19 | 巴巴多斯 | 
20 | 白俄罗斯 | 
21 | 比利时 | 
22 | 伯利兹 | 
23 | 贝宁 | 
24 | 百慕大 | 
25 | 不丹 | 
26 | 玻利维亚 | 
27 | 波黑 | 
28 | 博茨瓦纳 | 
29 | 布维岛 | 
30 | 巴西 | 
31 | 英属印度洋领土 | 
32 | 文莱 | 
33 | 保加利亚 | 
34 | 布基纳法索 | 
35 | 布隆迪 | 
36 | 柬埔寨 | 
37 | 喀麦隆 | 
38 | 加拿大 | 
39 | 佛得角 | 
40 | 开曼群岛 | 
41 | 中非 | 
42 | 乍得 | 
43 | 智利 | 
44 | 中国 | 
45 | 香港 | 
46 | 澳门 | 
47 | 台湾 | 
48 | 圣诞岛 | 
49 | 科科斯(基林)群岛 | 
50 | 哥伦比亚 | 
51 | 科摩罗 | 
52 | 刚果（布） | 
53 | 刚果（金） | 
54 | 库克群岛 | 
55 | 哥斯达黎加 | 
56 | 科特迪瓦 | 
57 | 克罗地亚 | 
58 | 古巴 | 
59 | 塞浦路斯 | 
60 | 捷克 | 
61 | 丹麦 | 
62 | 吉布提 | 
63 | 多米尼克 | 
64 | 多米尼加共和国 | 
65 | 东帝汶 | 
66 | 厄瓜多尔 | 
67 | 埃及 | 
68 | 萨尔瓦多 | 
69 | 赤道几内亚 | 
70 | 厄立特里亚 | 
71 | 爱沙尼亚 | 
72 | 埃塞俄比亚 | 
73 | 福克兰群岛(马尔维纳斯) | 
74 | 法罗群岛 | 
75 | 斐济 | 
76 | 芬兰 | 
77 | 法国 | 
78 | 法属圭亚那 | 
79 | 法属波利尼西亚 | 
80 | 法属南部领土 | 
81 | 加蓬 | 
