收费项代码|老码|新码|开始日期|结束日期
MXY2444|XR07ABE019B002010100651|XR07ABE019B002010200651|2026/1/1|2026/7/31
MXY1902|XN07XXY322B004010101594|XN07XXY322B004010201594|2026/1/1|2026/7/31
MXY2544|XH01BBS194B002010183199|XH01BBS194B002010283199|2026/1/1|2026/7/31
MXY9647|XR01ADQ082L025020101601|XR01ADQ082L025030101601|2026/1/1|2026/7/31
MXY1637|XD11AXM104T001030102868|XD11AXM104T001040102868|2026/1/1|2026/7/31
MXY2514|XV02DCP072P001010102126|XV02DCP072P001030102126|2026/1/1|2026/7/31
MXY2969|XR03BAB165L023010381450|XR03BAB165L023010281450|2026/1/1|2026/7/31
MXY2756|XC01CAQ120B002010383450|XC01CAQ120B002010183450|2026/1/1|2026/7/31
MXY1320|XA11HAW041B002010103204|XA11HAW041B002010203204|2026/1/1|2026/7/31
MXY2298|XA02BCA211B001010302000|XA02BCA211B001010202000|2026/1/1|2026/7/31
XY9255|XC07ABB087A001020302181|XC07ABB087A001020202181|2026/1/1|2026/7/31
MXY9829|ZC02AAC0115020100454|ZC02AAC0115010100454|2026/1/1|2026/7/31
MXY2041|XN05CDR099B001010102000|XN05CDR099B001010202000|2026/1/1|2026/7/31
MXY1629|XM01AXA165E001010504641|XM01AXA165E001010204641|2026/1/1|2026/7/31
MXY2698|XN07AAX155B002010184135|XN07AAX155B002010284135|2026/1/1|2026/7/31
MXY9430|XA02AXF386N001010501351|XA02AXF386N001010401351|2026/1/1|2026/7/31
mxy9519|XV02DEW103A001010300144|XV02DEW103A001010200144|2026/1/1|2026/7/31
MXY1584|XD01AEE027S001030101495|XD01AEE027S001010101495|2026/1/1|2026/7/31
XY8042|XN01BXD003X007010101749|XN01BXD003X007010201749|2026/1/1|2026/7/31
XY0407|XA12BAF601B002010201669|XA12BAF601B002010301669|2026/1/1|2026/7/31
MXY3112|XL01BAJ025B002010202317|XL01BAJ025B002010102317|2026/1/1|2026/7/31
