propertyName,propertyNode,propertyDeli,propertyPiece,propertyType,propertyField,propertyColumn,propertyDesc,
TbpBQty,,"^",4,%String,Tbp_BQty,5,Tbp_BQty 此码发药的基本单位数量,
TbpBarCode,,"^",9,%Library.String,Tbp_BarCode,10,追溯码，TbpInBPdr和TbpBarCode二者必有一个,
TbpDate,,"^",6,%Library.Date,Tbp_Date,7,Tbp_Date,
TbpInBPdr,,"^",3,User.DHCIncBatPack,Tbp_InBP_dr,3,Tbp_InBP_dr,
TbpIncidr,,"^",2,User.INCItm,Tbp_Inci_dr,4,Tbp_Inci_dr,
TbpInclbdr,,"^",5,User.INCItmLcBt,Tbp_Inclb_dr,6,Tbp_Inclb_dr,
TbpPointer,,"^",1,%Library.String,Tbp_Pointer,2,/此表为码表与发药孙表 多对一的关系  by zhaoxinlong 2018-1-17 20:03:05 扫码发药建
Tbp_Pointer  ,
TbpSCDIDr,,"^",11,User.DHCStkComDictionary,Tbp_SCDI_Dr,12,码类型,
TbpScanFristFag,,"^",13,%Boolean,Tbp_ScanFristFag,14,先扫模式标志,
TbpTime,,"^",7,%Library.Time,Tbp_Time,8,Tbp_Time,
TbpTrdnFlag,,"^",12,%Boolean,Tbp_TrdnFlag,13,拆零标志,
TbpType,,"^",8,%Library.String,Tbp_Type,9,Tbp_Type  同库存台账类型F--门诊发药。H--门诊退药,
TbpUserdr,,"^",10,User.SSUser,Tbp_User_dr,11,操作用户,
